GO:0000001	P	mitochondrion inheritance
GO:0000002	P	mitochondrial genome maintenance
GO:0000003	P	reproduction
GO:0019952	P	reproduction
GO:0050876	P	reproduction
GO:0000005	F	obsolete ribosomal chaperone activity
GO:0000006	F	high-affinity zinc transmembrane transporter activity
GO:0000007	F	low-affinity zinc ion transmembrane transporter activity
GO:0000008	F	obsolete thioredoxin
GO:0000013	F	obsolete thioredoxin
GO:0000009	F	alpha-1,6-mannosyltransferase activity
GO:0000010	F	trans-hexaprenyltranstransferase activity
GO:0000011	P	vacuole inheritance
GO:0000012	P	single strand break repair
GO:0000014	F	single-stranded DNA endodeoxyribonuclease activity
GO:0000015	C	phosphopyruvate hydratase complex
GO:0000016	F	lactase activity
GO:0000017	P	alpha-glucoside transport
GO:0000018	P	regulation of DNA recombination
GO:0000019	P	regulation of mitotic recombination
GO:0000020	P	obsolete negative regulation of recombination within rDNA repeats
GO:0000022	P	mitotic spindle elongation
GO:0000023	P	maltose metabolic process
GO:0000024	P	maltose biosynthetic process
GO:0000025	P	maltose catabolic process
GO:0000026	F	alpha-1,2-mannosyltransferase activity
GO:0000027	P	ribosomal large subunit assembly
GO:0000028	P	ribosomal small subunit assembly
GO:0000030	F	mannosyltransferase activity
GO:0000031	F	mannosylphosphate transferase activity
GO:0000032	P	cell wall mannoprotein biosynthetic process
GO:0000033	F	alpha-1,3-mannosyltransferase activity
GO:0000034	F	adenine deaminase activity
GO:0000035	F	acyl binding
GO:0000036	F	acyl carrier activity
GO:0000038	P	very long-chain fatty acid metabolic process
GO:0000039	F	obsolete plasma membrane long-chain fatty acid transporter
GO:0000041	P	transition metal ion transport
GO:0000044	P	obsolete ascorbate stabilization
GO:0000045	P	autophagosome assembly
GO:0000047	F	obsolete Rieske iron-sulfur protein
GO:0000048	F	peptidyltransferase activity
GO:0000049	F	tRNA binding
GO:0000050	P	urea cycle
GO:0006594	P	urea cycle
GO:0006871	P	urea cycle
GO:0000051	P	obsolete urea cycle intermediate metabolic process
GO:0000052	P	citrulline metabolic process
GO:0000053	P	argininosuccinate metabolic process
GO:0000054	P	ribosomal subunit export from nucleus
GO:0000055	P	ribosomal large subunit export from nucleus
GO:0000057	P	ribosomal large subunit export from nucleus
GO:0000056	P	ribosomal small subunit export from nucleus
GO:0000058	P	ribosomal small subunit export from nucleus
GO:0000059	P	obsolete protein import into nucleus, docking
GO:0000060	P	protein import into nucleus, translocation
GO:0000061	P	protein import into nucleus, substrate release
GO:0000062	F	fatty-acyl-CoA binding
GO:0000064	F	L-ornithine transmembrane transporter activity
GO:0000067	P	obsolete DNA replication and chromosome cycle
GO:0000070	P	mitotic sister chromatid segregation
GO:0016359	P	mitotic sister chromatid segregation
GO:0000072	P	obsolete M phase specific microtubule process
GO:0000073	P	mitotic spindle pole body separation
GO:0030475	P	mitotic spindle pole body separation
GO:0000075	P	cell cycle checkpoint
GO:0031576	P	cell cycle checkpoint
GO:0071779	P	cell cycle checkpoint
GO:0000076	P	DNA replication checkpoint
GO:0000077	P	DNA damage checkpoint
GO:0000078	P	obsolete cytokinesis after mitosis checkpoint
GO:0000079	P	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000080	P	mitotic G1 phase
GO:0000082	P	G1/S transition of mitotic cell cycle
GO:0000083	P	regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000084	P	mitotic S phase
GO:0000085	P	mitotic G2 phase
GO:0000086	P	G2/M transition of mitotic cell cycle
GO:0000087	P	mitotic M phase
GO:0000088	P	mitotic prophase
GO:0000089	P	mitotic metaphase
GO:0000090	P	mitotic anaphase
GO:0000091	P	mitotic anaphase A
GO:0000092	P	mitotic anaphase B
GO:0000093	P	mitotic telophase
GO:0000094	P	obsolete septin assembly and septum formation
GO:0000095	F	S-adenosyl-L-methionine transmembrane transporter activity
GO:0015177	F	S-adenosyl-L-methionine transmembrane transporter activity
GO:0000096	P	sulfur amino acid metabolic process
GO:0000097	P	sulfur amino acid biosynthetic process
GO:0000098	P	sulfur amino acid catabolic process
GO:0000099	F	sulfur amino acid transmembrane transporter activity
GO:0000100	F	S-methylmethionine transmembrane transporter activity
GO:0015178	F	S-methylmethionine transmembrane transporter activity
GO:0000101	P	sulfur amino acid transport
GO:0000102	F	L-methionine secondary active transmembrane transporter activity
GO:0000103	P	sulfate assimilation
GO:0019378	P	sulfate assimilation
GO:0000104	F	succinate dehydrogenase activity
GO:0019739	F	succinate dehydrogenase activity
GO:0000105	P	histidine biosynthetic process
GO:0000107	F	imidazoleglycerol-phosphate synthase activity
GO:0000108	C	obsolete repairosome
GO:0000109	C	nucleotide-excision repair complex
GO:0000110	C	nucleotide-excision repair factor 1 complex
GO:0000111	C	nucleotide-excision repair factor 2 complex
GO:0000112	C	nucleotide-excision repair factor 3 complex
GO:0000113	C	nucleotide-excision repair factor 4 complex
GO:0000114	P	obsolete regulation of transcription involved in G1 phase of mitotic cell cycle
GO:0000115	P	obsolete regulation of transcription involved in S phase of mitotic cell cycle
GO:0000116	P	obsolete regulation of transcription involved in G2-phase of mitotic cell cycle
GO:0000117	P	regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0000118	C	histone deacetylase complex
GO:0000120	C	RNA polymerase I transcription factor complex
GO:0000121	F	glycerol-1-phosphatase activity
GO:0000122	P	negative regulation of transcription by RNA polymerase II
GO:0010553	P	negative regulation of transcription by RNA polymerase II
GO:0045816	P	negative regulation of transcription by RNA polymerase II
GO:0000123	C	histone acetyltransferase complex
GO:0000124	C	SAGA complex
GO:0000125	C	PCAF complex
GO:0000126	C	transcription factor TFIIIB complex
GO:0000127	C	transcription factor TFIIIC complex
GO:0000128	P	flocculation
GO:0000131	C	incipient cellular bud site
GO:0000132	P	establishment of mitotic spindle orientation
GO:0030607	P	establishment of mitotic spindle orientation
GO:0030609	P	establishment of mitotic spindle orientation
GO:0000133	C	polarisome
GO:0000136	C	alpha-1,6-mannosyltransferase complex
GO:0000137	C	Golgi cis cisterna
GO:0000138	C	Golgi trans cisterna
GO:0000139	C	Golgi membrane
GO:0000140	F	acylglycerone-phosphate reductase activity
GO:0000142	C	cellular bud neck contractile ring
GO:0000144	C	cellular bud neck septin ring
GO:0000145	C	exocyst
GO:0000146	F	microfilament motor activity
GO:0000147	P	actin cortical patch assembly
GO:0000148	C	1,3-beta-D-glucan synthase complex
GO:0000149	F	SNARE binding
GO:0000150	F	recombinase activity
GO:0000151	C	ubiquitin ligase complex
GO:0000152	C	nuclear ubiquitin ligase complex
GO:0000153	C	cytoplasmic ubiquitin ligase complex
GO:0000154	P	rRNA modification
GO:0016548	P	rRNA modification
GO:0000155	F	phosphorelay sensor kinase activity
GO:0000156	F	phosphorelay response regulator activity
GO:0000159	C	protein phosphatase type 2A complex
GO:0000160	P	phosphorelay signal transduction system
GO:0000161	P	osmosensory signaling MAPK cascade
GO:0000162	P	tryptophan biosynthetic process
GO:0009096	P	tryptophan biosynthetic process
GO:0000164	C	protein phosphatase type 1 complex
GO:0000165	P	MAPK cascade
GO:0000166	F	nucleotide binding
GO:0000167	P	activation of MAPKKK activity involved in osmosensory signaling pathway
GO:0000168	P	activation of MAPKK activity involved in osmosensory signaling pathway
GO:0007233	P	activation of MAPKK activity involved in osmosensory signaling pathway
GO:0000169	P	activation of MAPK activity involved in osmosensory signaling pathway
GO:0000170	F	sphingosine hydroxylase activity
GO:0000171	F	ribonuclease MRP activity
GO:0000172	C	ribonuclease MRP complex
GO:0000173	P	inactivation of MAPK activity involved in osmosensory signaling pathway
GO:0000174	P	obsolete inactivation of MAPK (mating sensu Saccharomyces)
GO:0000175	F	3'-5'-exoribonuclease activity
GO:0000176	C	nuclear exosome (RNase complex)
GO:0000177	C	cytoplasmic exosome (RNase complex)
GO:0000178	C	exosome (RNase complex)
GO:0000179	F	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0043790	F	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0000180	C	obsolete cytosolic large ribosomal subunit
GO:0000181	C	obsolete cytosolic small ribosomal subunit
GO:0000182	F	rDNA binding
GO:0000183	P	chromatin silencing at rDNA
GO:0000184	P	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000185	P	activation of MAPKKK activity
GO:0000186	P	activation of MAPKK activity
GO:0007255	P	activation of MAPKK activity
GO:0000187	P	activation of MAPK activity
GO:0000188	P	inactivation of MAPK activity
GO:0000189	P	obsolete MAPK import into nucleus
GO:0000190	P	obsolete MAPKKK cascade (pseudohyphal growth)
GO:0000191	P	obsolete activation of MAPKKK (pseudohyphal growth)
GO:0000192	P	obsolete activation of MAPKK (pseudohyphal growth)
GO:0000193	P	obsolete activation of MAPK (pseudohyphal growth)
GO:0000194	P	obsolete inactivation of MAPK (pseudohyphal growth)
GO:0000195	P	obsolete nuclear translocation of MAPK (pseudohyphal growth)
GO:0000196	P	cell wall integrity MAPK cascade
GO:0000197	P	activation of MAPKKK activity involved in cell wall organization or biogenesis
GO:0000198	P	activation of MAPKK activity involved in cell wall organization or biogenesis
GO:0000199	P	activation of MAPK activity involved in cell wall organization or biogenesis
GO:0000200	P	inactivation of MAPK activity involved in cell wall organization or biogenesis
GO:0000201	P	obsolete MAPK import into nucleus involved in cell wall organization or biogenesis
GO:0000202	P	obsolete MAPKKK cascade during sporulation (sensu Saccharomyces)
GO:0000203	P	obsolete activation of MAPKKK during sporulation (sensu Saccharomyces)
GO:0000204	P	obsolete activation of MAPKK during sporulation (sensu Saccharomyces)
GO:0000205	P	obsolete activation of MAPK during sporulation (sensu Saccharomyces)
GO:0000206	P	obsolete inactivation of MAPK during sporulation (sensu Saccharomyces)
GO:0000207	P	obsolete nuclear translocation of MAPK during sporulation (sensu Saccharomyces)
GO:0000208	P	obsolete MAPK import into nucleus involved in osmosensory signaling pathway
GO:0000209	P	protein polyubiquitination
