# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 FPKM in experiment E-GEOD-50191
# Selected columns: 23 (all)
# Timestamp: Mon, 02-Nov-2020 23:33:03
Gene ID	Gene Name	vegetative meristem	internode 6-7	internode 7-8	growth zone of leaf 8	stomatal division zone of leaf 8	symmetrical division zone of leaf 8	mature leaf 8	primary root	root cortex	root differentiation zone	root elongation zone	secondary root	mature pollen	mature female spikelet	2-4 mm from tip of ear primordium	6-8 mm from tip of ear primordium	unpollinated silk	endosperm 12 days after pollination	endosperm crown	pericarp and aleurone	embryo 20 days after pollination	embryo 38 days after pollination	germinated embryo 2 days after imbibition
ENSRNA049453693	snoZ267	11.0	6.0	8.0	2.0	10.0	11.0	0.7	1.0		6.0	0.9	1.0			6.0	9.0		2.0			7.0	1.0	8.0
ENSRNA049453717	snoR44_J54	7.0	5.0	8.0	1.0	4.0	10.0		2.0		9.0	1.0	3.0		1.0	5.0	4.0	0.4	1.0	0.8		3.0		10.0
ENSRNA049453841	U11	0.3						0.5		0.5				2.0			0.3	4.0						1.0
ENSRNA049454125	snoR26	9.0	6.0	6.0	15.0	46.0	22.0	10.0	2.0		11.0	0.8	1.0		0.8	6.0	8.0		5.0	1.0	5.0	5.0	9.0	6.0
ENSRNA049454293	Plant_SRP													25.0					3.0	7.0	4.0			
ENSRNA049454571	U12	0.5				0.4	0.3			0.4												0.2		
ENSRNA049455185	U6atac																		0.2					0.6
ENSRNA049455202	U6													1.0										
ENSRNA049455219	Plant_SRP													14.0					3.0	11.0	7.0		0.3	0.1
ENSRNA049455242	Plant_SRP													2.0					0.4	0.4				
ENSRNA049455261	Plant_SRP													14.0					0.5	1.0	0.5			
ENSRNA049455282	Plant_SRP													9.0					2.0	4.0	1.0			
ENSRNA049455301	Plant_SRP													6.0					0.2	4.0	0.8			
ENSRNA049455313	Plant_SRP									0.4				12.0					4.0	29.0	18.0		0.2	0.2
ENSRNA049455334	Plant_SRP													1.0										
ENSRNA049455358	Plant_SRP													7.0					9.0	21.0	20.0			
ENSRNA049455425	U1																		0.2					
ENSRNA049455608	SSU_rRNA_eukarya							0.3																
ENSRNA049455955	LSU_rRNA_eukarya											0.4												
ENSRNA049456300	snoR60	4.0	6.0	4.0	6.0	21.0	12.0	5.0	2.0		10.0	0.9	0.7			5.0	4.0		5.0			3.0	7.0	4.0
ENSRNA049456320	snoR60	7.0	6.0	5.0	11.0	46.0	21.0	6.0	3.0		20.0	1.0	5.0			9.0	12.0		8.0		4.0	4.0	11.0	14.0
ENSRNA049456343	U1			0.4										0.2					0.2			0.2		0.2
ENSRNA049456385	snoZ152										0.6			4.0										
ENSRNA049456416	snoR11	0.8					0.6							0.8					0.5			0.4		
ENSRNA049456552	SSU_rRNA_eukarya	1.0						9.0										2.0						0.3
ENSRNA049456692	snoZ102_R77	11.0	25.0	11.0	3.0	6.0	3.0		11.0	8.0	54.0	20.0	13.0		1.0	7.0	7.0	3.0	6.0	1.0	3.0	14.0	4.0	17.0
ENSRNA049456702	snoZ103	17.0	45.0	23.0	19.0	12.0	12.0	9.0	48.0	19.0	91.0	54.0	26.0	2.0	5.0	28.0	26.0	22.0	10.0		6.0	27.0	15.0	52.0
ENSRNA049456719	snoZ103	13.0	19.0	15.0	9.0	6.0	8.0	8.0	21.0	12.0	58.0	25.0	21.0		3.0	17.0	7.0	4.0	8.0	2.0	2.0	15.0	4.0	30.0
ENSRNA049456746	snoZ103	1.0	3.0	0.7	3.0	6.0	4.0	3.0	0.5		3.0	1.0	0.5			5.0	4.0		1.0		1.0	1.0	0.8	2.0
ENSRNA049456769	snoZ101	29.0	36.0	38.0	9.0	14.0	13.0		28.0	13.0	105.0	36.0	33.0		6.0	12.0	11.0	7.0	10.0	4.0	5.0	26.0	10.0	30.0
ENSRNA049456789	snoZ103	6.0	3.0	4.0	7.0	12.0	12.0	7.0	1.0		8.0	2.0	1.0			11.0	11.0	0.4	6.0		1.0	6.0	3.0	3.0
ENSRNA049457014	snoR77	1.0		0.4	0.4	0.5	0.3					0.5		5.0				0.3				0.3		
ENSRNA049457201	LSU_rRNA_eukarya	0.5	0.4	0.4		0.4		7.0		0.4							0.4	1.0						
ENSRNA049457503	Intron_gpII	21.0	3.0	5.0	10.0	8.0	3.0	2.0	10.0	29.0	12.0	11.0	6.0		18.0	3.0	1.0	6.0	2.0		1.0	8.0	9.0	1.0
ENSRNA049457531	Intron_gpII	10.0	4.0	6.0	6.0	6.0	2.0	0.7	10.0	19.0	7.0	11.0	9.0	0.3	16.0	5.0	6.0	5.0	4.0	0.5	1.0	5.0	3.0	1.0
ENSRNA049457554	LSU_rRNA_eukarya							1.0																
ENSRNA049457570	LSU_rRNA_eukarya							0.6				0.3												
ENSRNA049457592	LSU_rRNA_eukarya	0.2						1.0										0.4						
ENSRNA049457729	snoZ155		0.8			0.8		0.7		0.9	0.8										0.9	0.5		0.8
ENSRNA049457749	snoR77	0.3	0.4	0.4	0.6	0.5	0.3	4.0		0.9	0.8		0.3			0.3	0.4		5.0		0.5	7.0	0.6	3.0
ENSRNA049457777	snoR41	2.0	0.7	0.8		3.0	1.0	5.0	0.6	0.9	0.7		0.6	1.0		0.7	0.7		0.6			1.0	1.0	0.9
ENSRNA049458208	U2	1.0	3.0	1.0	7.0	16.0	9.0	4.0	0.6		2.0	1.0	0.5		2.0	9.0	10.0	0.7	3.0	0.9	1.0	3.0	2.0	5.0
ENSRNA049458426	snoZ199	11.0	6.0	5.0	5.0	18.0	16.0	7.0	3.0	2.0	8.0	5.0	1.0			10.0	9.0		4.0		1.0	5.0	4.0	7.0
ENSRNA049458448	snoR31_Z110_Z27	15.0	17.0	12.0	17.0	47.0	19.0	10.0	8.0		26.0	7.0	5.0			9.0	14.0	2.0	6.0	6.0	5.0	6.0	14.0	17.0
ENSRNA049458467	snoR160	6.0	5.0	3.0	21.0	26.0	23.0	21.0	0.6		9.0	5.0	1.0			14.0	16.0		2.0	2.0	7.0	5.0	8.0	8.0
ENSRNA049458495	snoR64	11.0	5.0	5.0	6.0	12.0	14.0	5.0	2.0		8.0	3.0	2.0			14.0	10.0		2.0	0.9	2.0	2.0	5.0	6.0
ENSRNA049458582	snoR160	6.0	3.0	2.0	23.0	29.0	25.0	13.0	2.0	0.8	8.0	6.0	1.0			14.0	20.0		2.0	1.0	5.0	6.0	9.0	7.0
ENSRNA049458634	snoR160	7.0	7.0	5.0	16.0	28.0	29.0	20.0	3.0		6.0	5.0	2.0			12.0	20.0	2.0	1.0		11.0	5.0	10.0	9.0
ENSRNA049458706	snoR160	9.0	5.0	4.0	18.0	39.0	25.0	24.0	5.0		9.0	3.0	3.0			13.0	20.0		2.0	0.9	7.0	8.0	8.0	14.0
ENSRNA049458722	snoR160	9.0	4.0	2.0	15.0	21.0	20.0	18.0			4.0	0.9	0.6			10.0	11.0		2.0	1.0	7.0	8.0	8.0	8.0
ENSRNA049458758	snoR1	10.0	19.0	16.0	23.0	45.0	23.0	7.0	7.0	0.8	24.0	9.0	6.0		3.0	15.0	15.0	2.0	5.0	4.0	9.0	3.0	16.0	17.0
ENSRNA049458782	SNORD14	93.0	79.0	55.0	40.0	75.0	53.0	50.0	14.0	7.0	66.0	21.0	18.0		37.0	35.0	34.0	18.0	9.0	9.0	15.0	30.0	34.0	37.0
ENSRNA049458795	SNORD14	28.0	26.0	14.0	25.0	48.0	26.0	18.0	9.0	0.6	39.0	8.0	8.0		2.0	16.0	17.0		5.0	6.0	7.0	12.0	16.0	23.0
ENSRNA049458812	SNORD14	68.0	46.0	32.0	37.0	82.0	35.0	32.0	10.0	6.0	62.0	18.0	12.0		10.0	28.0	31.0	4.0	12.0	7.0	10.0	19.0	29.0	31.0
ENSRNA049458826	SNORD14	153.0	99.0	89.0	57.0	91.0	70.0	36.0	28.0	20.0	103.0	39.0	29.0		54.0	54.0	44.0	20.0	30.0	7.0	18.0	80.0	35.0	59.0
ENSRNA049458846	snoR2	18.0	14.0	9.0	13.0	34.0	15.0	7.0	4.0	1.0	22.0	6.0	5.0		2.0	9.0	10.0	3.0	5.0	3.0	4.0	8.0	14.0	12.0
ENSRNA049458874	snoZ112	24.0	16.0	11.0	14.0	31.0	16.0	12.0	4.0	1.0	23.0	8.0	3.0		2.0	10.0	10.0	4.0	4.0	4.0	6.0	6.0	16.0	14.0
ENSRNA049458957	snoR31_Z110_Z27	27.0	26.0	29.0	34.0	62.0	46.0	52.0	12.0	11.0	37.0	8.0	12.0	1.0	4.0	24.0	20.0	2.0	11.0	14.0	22.0	12.0	15.0	16.0
