sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	0.27058823529411763	0.24705882352941178	0.2823529411764706	0.19411764705882356	0.28823529411764703	2201	1
bin1+	0.16\GCto 0.29	0.2647058823529412	0.2411764705882353	0.27647058823529413	0.18823529411764706	0.28823529411764703	1502	2
bin2-	0.29\GCto 0.32	0.31176470588235294	0.3	0.3176470588235294	0.29411764705882354	0.3235294117647059	2621	3
bin2+	0.29\GCto 0.32	0.31176470588235294	0.3	0.3176470588235294	0.29411764705882354	0.3235294117647059	1203	4
bin3-	0.32\GCto 0.35	0.3411764705882353	0.3352941176470588	0.34705882352941175	0.32941176470588235	0.35294117647058826	2449	5
bin3+	0.32\GCto 0.35	0.3411764705882353	0.3352941176470588	0.34705882352941175	0.32941176470588235	0.35294117647058826	926	6
bin4-	0.35\GCto 0.39	0.37058823529411766	0.36470588235294116	0.38235294117647056	0.3588235294117647	0.38823529411764707	2643	7
bin4+	0.35\GCto 0.39	0.37058823529411766	0.36470588235294116	0.38235294117647056	0.3588235294117647	0.38823529411764707	690	8
bin5-	0.39\GCto 0.60	0.4176470588235294	0.40588235294117647	0.4411764705882353	0.3941176470588235	0.4941176470588235	2764	9
bin5+	0.39\GCto 0.60	0.4117647058823529	0.4	0.4294117647058823	0.3941176470588235	0.47352941176470575	388	10
