sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	0.34705882352941175	0.3235294117647059	0.37058823529411766	0.2529411764705882	0.38235294117647056	3760	1
bin1+	0.17\GCto 0.38	0.3411764705882353	0.31176470588235294	0.36470588235294116	0.23235294117647062	0.38235294117647056	1523	2
bin2-	0.38\GCto 0.44	0.4176470588235294	0.4	0.4294117647058823	0.38823529411764707	0.4411764705882353	3908	3
bin2+	0.38\GCto 0.44	0.4117647058823529	0.4	0.4294117647058823	0.38823529411764707	0.4411764705882353	1264	4
bin3-	0.44\GCto 0.50	0.4764705882352941	0.4588235294117647	0.48823529411764705	0.4470588235294118	0.5	3872	5
bin3+	0.44\GCto 0.50	0.47058823529411764	0.4588235294117647	0.48823529411764705	0.4470588235294118	0.5	1180	6
bin4-	0.50\GCto 0.58	0.5411764705882353	0.5176470588235295	0.5588235294117647	0.5058823529411764	0.5764705882352941	4253	7
bin4+	0.50\GCto 0.58	0.5352941176470588	0.5176470588235295	0.5529411764705883	0.5058823529411764	0.5764705882352941	870	8
bin5-	0.58\GCto 0.83	0.6352941176470588	0.6058823529411764	0.6705882352941176	0.5823529411764706	0.7676470588235293	4928	9
bin5+	0.58\GCto 0.83	0.6176470588235294	0.6	0.6529411764705882	0.5823529411764706	0.7323529411764707	607	10
