sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	0.3764705882352941	0.34705882352941175	0.40588235294117647	0.2588235294117647	0.4235294117647059	5303	1
bin1+	0.20\GCto 0.42	0.3764705882352941	0.3411764705882353	0.40588235294117647	0.24411764705882355	0.4235294117647059	1576	2
bin2-	0.42\GCto 0.49	0.4588235294117647	0.4470588235294118	0.4764705882352941	0.4294117647058823	0.48823529411764705	4754	3
bin2+	0.42\GCto 0.49	0.4588235294117647	0.4411764705882353	0.4764705882352941	0.4294117647058823	0.48823529411764705	1522	4
bin3-	0.49\GCto 0.55	0.5235294117647059	0.5058823529411764	0.5352941176470588	0.49411764705882355	0.5470588235294118	5138	5
bin3+	0.49\GCto 0.55	0.5176470588235295	0.5058823529411764	0.5352941176470588	0.49411764705882355	0.5470588235294118	1409	6
bin4-	0.55\GCto 0.61	0.5764705882352941	0.5647058823529412	0.5941176470588235	0.5529411764705883	0.6058823529411764	5478	7
bin4+	0.55\GCto 0.61	0.5764705882352941	0.5647058823529412	0.5882352941176471	0.5529411764705883	0.6058823529411764	1163	8
bin5-	0.61\GCto 0.84	0.6470588235294118	0.6235294117647059	0.6764705882352942	0.611764705882353	0.7558823529411766	6213	9
bin5+	0.61\GCto 0.84	0.6411764705882353	0.6235294117647059	0.6647058823529411	0.611764705882353	0.726470588235294	743	10
