pos	At	Sb	Zm
7	NaN	3	3
8	6	3	7
9	3	2	2
10	4	8	3
11	2	3	9
12	9	3	5
13	1	3	3
14	1	3	2
15	4	4	NaN
16	6	4	3
17	3	1	2
18	5	3	NaN
19	4	5	4
20	4	5	2
21	1	3	1
22	2	3	2
23	2	3	4
24	5	4	3
25	2	4	1
26	2	2	1
27	4	1	2
28	4	4	2
29	1	5	2
30	7	1	4
31	2	3	3
32	1	3	NaN
33	NaN	6	3
34	5	3	6
35	3	4	9
36	2	4	7
37	3	2	3
38	4	3	6
39	6	5	1
40	3	2	2
41	1	3	2
42	1	4	2
43	3	3	1
44	1	4	5
45	1	3	3
46	1	2	3
47	1	3	5
48	1	2	2
49	3	3	1
50	3	NaN	2
51	5	NaN	1
52	5	3	3
53	2	4	2
54	4	4	3
55	5	2	3
56	4	6	2
57	4	1	3
58	5	3	4
59	4	2	3
60	4	6	3
61	2	1	3
62	1	3	4
63	5	NaN	4
64	2	2	2
65	2	3	5
66	5	NaN	2
67	3	4	2
68	1	3	1
69	NaN	5	5
70	5	7	3
71	4	1	6
72	2	6	2
73	3	3	4
74	2	4	4
75	2	2	4
76	4	2	2
77	1	NaN	4
78	4	5	2
79	7	1	5
80	5	1	5
81	3	4	4
82	6	3	4
83	NaN	NaN	3
84	3	6	4
85	2	4	3
86	5	1	3
87	7	2	6
88	5	5	4
89	4	4	1
90	1	5	6
91	6	5	3
92	4	2	3
93	2	1	3
94	5	3	3
95	5	7	2
96	4	5	3
97	6	1	2
98	9	3	1
99	4	3	3
100	3	5	1
101	4	NaN	1
102	1	5	2
103	5	4	8
104	4	4	7
105	4	4	4
106	3	2	2
107	5	6	6
108	3	2	4
109	NaN	2	4
110	1	3	3
111	3	3	NaN
112	1	2	2
113	2	5	4
114	2	1	4
115	4	2	8
116	3	2	3
117	2	3	1
118	4	5	4
119	5	NaN	2
120	3	2	3
121	3	2	3
122	4	NaN	1
123	2	NaN	2
124	4	2	1
125	1	3	2
126	3	3	2
127	2	NaN	2
128	3	3	3
129	1	3	3
130	5	2	2
131	3	1	4
132	4	6	2
133	NaN	3	1
134	4	2	5
135	4	1	2
136	2	2	5
137	1	1	2
138	3	4	2
139	3	4	1
140	2	1	4
141	4	6	1
142	7	4	3
143	4	3	6
144	1	2	2
145	3	4	2
146	1	3	3
147	2	4	1
148	3	5	1
149	2	6	2
150	4	NaN	4
151	2	4	4
152	5	3	NaN
153	7	1	5
154	7	3	5
155	2	3	1
156	4	3	NaN
157	6	4	6
158	4	1	3
159	3	4	2
160	5	1	NaN
161	3	3	2
162	4	4	4
163	2	2	2
164	2	2	5
