pos	At	Sb	Zm
8.5	25	13	23
9.5	27	13	16
10.5	26	22	21
11.5	25	18	15
12.5	31	17	26
13.5	25	15	18
14.5	20	20	15
15.5	24	15	20
16.5	19	22	18
17.5	26	20	26
18.5	17	20	26
19.5	20	23	14
20.5	20	15	26
21.5	14	18	31
22.5	13	17	16
23.5	24	15	31
24.5	19	19	24
25.5	17	23	29
26.5	26	14	20
27.5	20	12	27
28.5	30	14	23
29.5	27	20	19
30.5	23	23	27
31.5	17	15	23
32.5	22	10	21
33.5	24	15	18
34.5	21	18	17
35.5	20	10	16
36.5	20	16	24
37.5	30	19	18
38.5	18	21	21
39.5	13	9	23
40.5	14	22	20
41.5	25	19	22
42.5	29	17	12
43.5	23	12	23
44.5	20	13	23
45.5	18	12	17
46.5	23	9	20
47.5	19	16	22
48.5	21	8	13
49.5	28	19	17
50.5	24	30	21
51.5	32	18	19
52.5	23	17	18
53.5	22	16	18
54.5	16	21	22
55.5	20	18	20
56.5	23	13	16
57.5	22	17	14
58.5	30	17	12
59.5	19	17	13
60.5	21	19	23
61.5	21	18	19
62.5	23	14	22
63.5	17	14	23
64.5	16	20	24
65.5	21	21	19
66.5	9	16	26
67.5	19	14	25
68.5	17	23	25
69.5	16	12	31
70.5	17	16	20
71.5	29	13	16
72.5	17	14	25
73.5	25	14	14
74.5	29	21	27
75.5	32	15	22
76.5	23	16	28
77.5	24	12	24
78.5	18	15	25
79.5	32	15	19
80.5	27	14	22
81.5	30	18	24
82.5	19	10	31
83.5	28	10	11
84.5	26	17	19
85.5	24	19	24
86.5	26	21	28
87.5	27	17	18
88.5	26	22	23
89.5	18	14	23
90.5	17	20	16
91.5	24	23	21
92.5	17	20	10
93.5	22	25	19
94.5	23	20	16
95.5	21	17	14
96.5	23	14	19
97.5	30	15	17
98.5	30	15	16
99.5	24	17	13
100.5	26	25	19
101.5	23	25	14
102.5	21	13	16
103.5	20	23	19
104.5	24	13	18
105.5	23	17	14
106.5	34	16	22
107.5	31	12	14
108.5	19	13	15
109.5	21	21	20
110.5	23	12	24
111.5	24	22	25
112.5	18	18	16
113.5	11	20	17
114.5	24	19	21
115.5	31	19	18
116.5	25	16	25
117.5	20	19	13
118.5	24	21	19
119.5	21	20	11
120.5	20	11	13
121.5	15	13	16
122.5	20	22	15
123.5	30	19	15
124.5	26	15	22
125.5	24	16	15
126.5	24	15	10
127.5	32	21	16
128.5	23	19	13
129.5	16	11	11
130.5	21	10	8
131.5	25	18	21
132.5	19	15	8
133.5	26	15	27
134.5	27	11	13
135.5	27	15	20
136.5	22	10	22
137.5	27	22	14
138.5	19	9	28
139.5	23	15	22
140.5	19	18	17
141.5	19	16	25
142.5	22	19	19
143.5	13	8	12
144.5	11	14	14
145.5	19	12	8
146.5	18	15	4
147.5	30	15	26
148.5	21	17	14
149.5	19	15	11
150.5	19	12	13
151.5	27	12	6
152.5	27	11	7
153.5	19	13	13
154.5	20	23	13
155.5	21	20	9
156.5	19	13	13
157.5	19	17	13
158.5	25	13	14
159.5	25	21	16
160.5	13	22	15
161.5	28	26	16
162.5	23	10	9
