pos	At	Sb	Zm
4.5	12	31	61
5.5	21	51	70
6.5	13	54	53
7.5	17	49	59
8.5	20	31	62
9.5	19	42	75
10.5	15	57	87
11.5	13	52	80
12.5	20	64	70
13.5	12	42	84
14.5	9	43	62
15.5	17	53	80
16.5	14	63	74
17.5	11	47	82
18.5	16	49	56
19.5	22	67	81
20.5	15	56	69
21.5	23	59	68
22.5	25	56	72
23.5	11	51	91
24.5	20	65	90
25.5	17	48	72
26.5	9	47	80
27.5	20	56	77
28.5	19	47	74
29.5	19	43	60
30.5	10	62	62
31.5	18	48	70
32.5	16	63	70
33.5	19	54	67
34.5	10	60	82
35.5	18	58	71
36.5	15	46	69
37.5	24	58	69
38.5	24	58	96
39.5	23	49	84
40.5	22	51	91
41.5	19	45	79
42.5	16	56	76
43.5	17	68	95
44.5	26	49	76
45.5	17	57	68
46.5	18	44	86
47.5	20	50	76
48.5	17	70	82
49.5	18	61	74
50.5	21	56	71
51.5	21	45	81
52.5	21	56	79
53.5	20	64	86
54.5	16	60	86
55.5	25	61	85
56.5	19	61	75
57.5	25	57	78
58.5	14	60	89
59.5	19	61	81
60.5	18	57	97
61.5	23	58	89
62.5	21	53	76
63.5	16	63	88
64.5	14	62	72
65.5	29	56	90
66.5	23	57	82
67.5	20	63	76
68.5	21	61	76
69.5	23	65	69
70.5	20	80	72
71.5	24	57	88
72.5	24	60	67
73.5	14	63	76
74.5	16	54	87
75.5	27	78	99
76.5	17	74	86
77.5	25	73	95
78.5	25	61	99
79.5	18	65	92
80.5	18	65	89
81.5	25	67	93
82.5	27	64	92
83.5	26	62	92
84.5	27	81	83
85.5	39	65	79
86.5	30	78	98
87.5	23	69	80
88.5	29	68	88
89.5	19	70	78
90.5	27	58	95
91.5	27	68	67
92.5	29	74	101
93.5	19	76	69
94.5	25	69	84
95.5	23	64	84
96.5	23	66	74
97.5	25	61	71
98.5	25	74	73
99.5	22	80	66
100.5	27	77	73
101.5	33	70	85
102.5	26	69	78
103.5	23	86	87
104.5	25	74	70
105.5	31	59	68
106.5	25	59	71
107.5	23	61	65
108.5	20	67	72
109.5	28	53	62
110.5	22	53	69
111.5	22	62	67
112.5	29	51	57
113.5	20	49	73
114.5	25	43	61
115.5	24	69	65
116.5	19	64	58
117.5	24	52	68
118.5	27	55	68
119.5	22	57	83
120.5	28	57	70
121.5	18	61	62
122.5	23	43	75
123.5	24	51	69
124.5	21	51	62
125.5	21	42	66
126.5	30	48	47
127.5	26	51	73
128.5	23	59	39
129.5	23	56	55
130.5	12	59	39
131.5	17	71	40
132.5	18	49	51
133.5	16	56	53
134.5	23	70	40
135.5	18	55	35
136.5	18	65	44
137.5	22	64	51
138.5	16	61	43
139.5	18	59	33
140.5	12	63	39
141.5	11	66	35
142.5	27	53	60
143.5	26	56	55
144.5	14	54	67
145.5	14	50	59
146.5	24	60	56
147.5	16	65	51
148.5	19	45	55
149.5	20	54	62
150.5	20	65	48
151.5	18	58	54
152.5	16	44	56
153.5	20	57	60
154.5	14	46	58
155.5	20	43	40
156.5	9	72	48
157.5	15	68	68
158.5	15	68	50
159.5	25	82	52
160.5	22	85	68
161.5	23	65	49
162.5	26	48	47
163.5	17	74	52
164.5	27	46	42
165.5	15	42	32
166.5	10	42	13
