sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	3.0491716393664925	2.338901896391106	3.7769298462892222	0.18185997154393174	5.933971771136397	2989	1
bin1+	0.16\GCto 0.29	3.3339353951380186	2.646427173819183	4.071426151197821	0.5089287077512261	6.10067163892883	286	2
bin2-	0.29\GCto 0.32	3.1277101366239384	2.3967226633280463	3.7828838922111965	0.317480820003321	5.862125735535922	3136	3
bin2+	0.29\GCto 0.32	3.393516288551725	2.7852846586028472	4.045022976977508	0.8956771810408559	5.9346304545395	385	4
bin3-	0.32\GCto 0.35	3.046612112890518	2.3476762880721216	3.748882717700841	0.24586664362904243	5.850692362143921	2823	5
bin3+	0.32\GCto 0.35	3.3123008584962834	2.516516816154326	4.051431397674002	0.21414494387481176	5.869704845259029	337	6
bin4-	0.35\GCto 0.39	2.9640152637668136	2.2817359995244235	3.648887620638534	0.23100856785325785	5.699615052309699	2806	7
bin4+	0.35\GCto 0.39	3.0475442487046283	2.39545939983776	3.841123195358872	0.22696370655609233	6.0096188886405395	363	8
bin5-	0.39\GCto 0.60	2.637443147468593	2.014963389048917	3.3602140091326804	-0.0029125410767281146	5.3780899392583255	2681	9
bin5+	0.39\GCto 0.60	2.759628001203911	2.139731759337515	3.7305254898987363	-0.246458836504317	5.9501862827322345	330	10
