sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	1.7197454699094132	1.093766717679586	2.3291318092649282	-0.7592809196984274	4.182179446642942	3174	1
bin1+	0.16\GCto 0.29	1.8634287895371293	1.2919661218087082	2.4663350549203695	-0.46958727785878396	4.227888454587862	311	2
bin2-	0.29\GCto 0.32	1.7167689203578909	1.1339763861472152	2.2769508609664593	-0.5804853260816509	3.9914125731953254	3331	3
bin2+	0.29\GCto 0.32	1.8732136119499336	1.3121752337241626	2.500955584955446	-0.4709952931227628	4.2841261118023715	409	4
bin3-	0.32\GCto 0.35	1.692472670407017	1.1824690286354114	2.2870470776603082	-0.4743980449019338	3.9439141511976534	2967	5
bin3+	0.32\GCto 0.35	1.9866674322225175	1.328610778422221	2.509881768786747	-0.09814462380887834	4.281788254333536	355	6
bin4-	0.35\GCto 0.39	1.6475137030089742	1.1527214238092685	2.1930276608968837	-0.40773793182215434	3.7534870165283065	2923	7
bin4+	0.35\GCto 0.39	1.732720651332813	1.2370370396331176	2.285536850551207	-0.33571267674401617	3.8582865669283404	380	8
bin5-	0.39\GCto 0.60	1.6018731211488455	1.1123652232994465	2.099266906620471	-0.3679873016820905	3.5796194316020085	2791	9
bin5+	0.39\GCto 0.60	1.6661624764035965	1.289922054341206	2.2606476289533726	-0.16616630757704387	3.7167359908716224	350	10
