sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	3.1539810334970193	2.562295676154438	3.6819919989193086	0.882751192007132	5.361536483066614	4017	1
bin1+	0.17\GCto 0.38	3.3752782916272945	2.833953957065841	3.8879929111647398	1.2528955259174928	5.469051342313088	1103	2
bin2-	0.38\GCto 0.44	3.259269911241111	2.6818124435888517	3.7854223287261863	1.0263976158828498	5.440837156432188	3739	3
bin2+	0.38\GCto 0.44	3.4710542034376948	2.919389244495886	4.022812033357247	1.2642550612038448	5.677946216649288	1332	4
bin3-	0.44\GCto 0.50	3.185032108122292	2.5439014618398996	3.7693100808565463	0.7057885333149296	5.607423009381517	3626	5
bin3+	0.44\GCto 0.50	3.517001546095128	2.89304321308553	4.06204287299292	1.1395437232244459	5.8155423628540035	1319	6
bin4-	0.50\GCto 0.58	2.8704978980574927	2.192660241312087	3.6049729471692746	0.07419118252630508	5.723442005955056	3770	7
bin4+	0.50\GCto 0.58	3.2341387431202104	2.42348021770162	3.8813897291146824	0.236615950582026	6.068253996234276	1198	8
bin5-	0.58\GCto 0.82	2.382767195154165	1.7338094603843102	3.232563512215108	-0.5143216173618868	5.480694589961304	3602	9
bin5+	0.58\GCto 0.82	2.5165126307427492	1.7739738961839235	3.4448216473506883	-0.7322977305662237	5.743006269448255	795	10
