sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	1.4968416846541013	1.0198748822531742	2.030970644905863	-0.4967687617258587	3.547614288884896	3953	1
bin1+	0.17\GCto 0.38	1.6469663210112633	1.1301423772479646	2.1538881683872377	-0.40547630946094504	3.6895068550961474	1078	2
bin2-	0.38\GCto 0.44	1.565077797223779	1.0871532534346766	2.0710538858530745	-0.3886976951929202	3.5469048344806713	3713	3
bin2+	0.38\GCto 0.44	1.7633671974083867	1.2502919128472036	2.266165344119678	-0.2735182340615079	3.7899754910283896	1331	4
bin3-	0.44\GCto 0.50	1.5327519038802586	1.021879331241174	2.0440180769047736	-0.5113287872542254	3.577226195400173	3640	5
bin3+	0.44\GCto 0.50	1.7841187841033568	1.2277499907695004	2.3256793424096562	-0.4191440366907333	3.97257336986989	1332	6
bin4-	0.50\GCto 0.58	1.4508111430687891	0.9695730405334898	1.9980878197523404	-0.5731991282947863	3.5408599885806167	3812	7
bin4+	0.50\GCto 0.58	1.6489383062655656	1.1123740021460964	2.2107517069061373	-0.44502133863978455	3.858318264046199	1214	8
bin5-	0.58\GCto 0.82	1.358736949224304	0.8766480398189506	1.8782897162556762	-0.6258144748361377	3.3807522309107645	4424	9
bin5+	0.58\GCto 0.82	1.4281021690060334	0.9190425783552673	2.0123783854874686	-0.7209611323430346	3.6523820961857707	943	10
