sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	3.630623172614741	2.9692702568141063	4.232948156421616	1.0737534074028423	6.128465005832879	4925	1
bin1+	0.20\GCto 0.42	3.8474543416715283	3.2355942708332233	4.460117750414813	1.3988090514608382	6.296902969787198	1366	2
bin2-	0.42\GCto 0.49	3.627938298398277	2.892444924104176	4.271551444736602	0.8237851431555376	6.34021122568524	5055	3
bin2+	0.42\GCto 0.49	3.894281671183095	3.176985103672373	4.552739981287065	1.1133527872503355	6.616372297709102	1518	4
bin3-	0.49\GCto 0.55	3.353972044383319	2.4925900262228735	4.1867727537446084	-0.04868406505972889	6.728046845027211	4967	5
bin3+	0.49\GCto 0.55	3.6809154350915554	2.772697965134329	4.431687156641284	0.284214177873896	6.9201709439017165	1359	6
bin4-	0.55\GCto 0.60	2.9325715540807824	2.049743300707876	3.9485889838221615	-0.7985252239635527	6.79685750849359	4642	7
bin4+	0.55\GCto 0.60	3.10450703931723	2.2213819985722676	4.189746177416002	-0.7311642696933345	6.429864069798166	1073	8
bin5-	0.60\GCto 0.84	2.318147730664672	1.5965031015447564	3.338001434950712	-0.8629237259199858	5.950248935059646	4581	9
bin5+	0.60\GCto 0.84	2.368366223508539	1.6635842195353283	3.4066691266406344	-0.5094756432628036	6.021296487298594	894	10
