sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	2.4651448357088266	2.022103689270364	2.9146027056228645	0.683355164741613	4.253351230151615	4773	1
bin1+	0.20\GCto 0.42	2.5622357845908716	2.1318940540754516	3.024008030356889	0.7937230896532959	4.362178994779045	1344	2
bin2-	0.42\GCto 0.49	2.468528548453132	2.0000760627967766	2.930546998998084	0.6043696584948157	4.326253403300045	5037	3
bin2+	0.42\GCto 0.49	2.678788577472454	2.2106349811601644	3.112304949578524	0.8581300285326248	4.464809902206063	1514	4
bin3-	0.49\GCto 0.55	2.449623362580424	1.9994484927236882	2.9362303312038236	0.5942757350034851	4.341403088924027	5033	5
bin3+	0.49\GCto 0.55	2.627204684989721	2.1225179215538006	3.116779859347559	0.6311250148631629	4.608172766038197	1384	6
bin4-	0.55\GCto 0.60	2.4270961553584804	1.9632485561874284	2.9066728203891	0.5481121598849208	4.321809216691608	4862	7
bin4+	0.55\GCto 0.60	2.5394363898761805	2.073523705909637	3.0211021495520862	0.6521560404459636	4.44246981501576	1118	8
bin5-	0.60\GCto 0.84	2.324979155569806	1.8540562291776923	2.8123623603001944	0.4165970324939392	4.249821556983948	6099	9
bin5+	0.60\GCto 0.84	2.336893553520233	1.8360912982388071	2.8577714488306962	0.30357107235097347	4.390291674718529	1156	10
