sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	3.087552360120373	2.370271548582455	3.827599654424146	0.18427938981991776	6.013591813186683	3101	1
bin1+	0.16\GCto 0.29	2.922507224004552	2.1704866065244737	3.64503746330759	0.21994730659669126	5.0762135144985745	174	2
bin2-	0.29\GCto 0.32	3.169261828081405	2.45808170986904	3.8178500956156127	0.418429131249181	5.857502674235471	3166	3
bin2+	0.29\GCto 0.32	3.043170002730774	2.2724153648542598	3.6406281525469906	0.22009618331516334	5.692947334086087	355	4
bin3-	0.32\GCto 0.35	3.0964575963808025	2.395331482569869	3.818892187456578	0.2599904252398053	5.954233244786642	2683	5
bin3+	0.32\GCto 0.35	2.9282519388035206	2.188078282557356	3.6235261862475148	0.034906427022118436	5.7275834452196035	477	6
bin4-	0.35\GCto 0.39	3.010060569280178	2.336168903557659	3.6955746332191	0.2970603090654982	5.734683227711261	2615	7
bin4+	0.35\GCto 0.39	2.815522898586991	2.0861850848153485	3.4788437360083533	-0.0028028919741589498	5.567831712797861	554	8
bin5-	0.39\GCto 0.60	2.6884043248417093	2.03962765250023	3.431015604466479	-0.04745427544914316	5.518097532415853	2324	9
bin5+	0.39\GCto 0.60	2.546299721899812	1.9606569070275763	3.24129397929869	0.03970129862090599	5.16224958770536	687	10
