sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	1.738717978447917	1.1112293254449956	2.3629742828253852	-0.7663881106255888	4.24059171889597	3307	1
bin1+	0.16\GCto 0.29	1.571587103804362	1.103693808829505	2.240453388165922	0.19505823482013085	3.945592757170548	178	2
bin2-	0.29\GCto 0.32	1.7268411970617477	1.1595126224115324	2.3030850114783745	-0.5558459611887308	4.0184435950786375	3366	3
bin2+	0.29\GCto 0.32	1.7498991006765152	1.1735798818306686	2.2657194140140473	-0.46462941644439937	3.9039287122891153	374	4
bin3-	0.32\GCto 0.35	1.7363263308868537	1.210035401574784	2.326699478231145	-0.4649607134097573	4.001695593215686	2833	5
bin3+	0.32\GCto 0.35	1.6657552628925882	1.067131350127906	2.3044827359580804	-0.7888957286173555	4.160509814703342	489	6
bin4-	0.35\GCto 0.39	1.6712327036185783	1.1548397823503112	2.207664121316103	-0.4243967260983763	3.7869006297647902	2728	7
bin4+	0.35\GCto 0.39	1.6182143497138886	1.18062754455976	2.1638738318508364	-0.29424188637685433	3.6387432627874507	575	8
bin5-	0.39\GCto 0.60	1.630117678483486	1.154249954304893	2.156444486010131	-0.34904184325296383	3.6597362835679874	2441	9
bin5+	0.39\GCto 0.60	1.5596797943535328	1.072375048010183	2.0145492486727967	-0.34088625298373754	3.4278105496667175	700	10
