sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	3.216273390146935	2.6552905393310753	3.7433160745715854	1.02325223647031	5.375354377432351	4589	1
bin1+	0.17\GCto 0.38	3.083778418988705	2.3308327681915015	3.5753270016735326	0.464091417968455	5.442068351896579	531	2
bin2-	0.38\GCto 0.44	3.3614143499550106	2.7821952647280463	3.891490575726115	1.1182522982309435	5.555433542223218	4083	3
bin2+	0.38\GCto 0.44	3.159720228320432	2.599734582121559	3.6581355080691282	1.0121331932002056	5.245736896990482	988	4
bin3-	0.44\GCto 0.50	3.352873323636043	2.7084003816211304	3.909197488134951	0.9072047218503996	5.710393147905682	3695	5
bin3+	0.44\GCto 0.50	3.0465016442344095	2.404035822521817	3.6110753730729757	0.5934764966950785	5.421634698899714	1250	6
bin4-	0.50\GCto 0.58	3.068066560079917	2.3467797801599692	3.7519532700438245	0.23901954533418657	5.859713504869607	3181	7
bin4+	0.50\GCto 0.58	2.712544533695416	2.0788212879934	3.5174238627388217	-0.07908257412473274	5.675327724856954	1787	8
bin5-	0.58\GCto 0.82	2.447427779700474	1.7683540040354584	3.3591822121623824	-0.6178883081549278	5.745424524352769	2360	9
bin5+	0.58\GCto 0.82	2.347112867849699	1.7062007078839576	3.1587586330442403	-0.4726361798564662	5.337595520784664	2037	10
