sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	1.5260123711286793	1.0375256916894586	2.0640398970904315	-0.5022456164120006	3.6038112051918905	4505	1
bin1+	0.17\GCto 0.38	1.4886714714236797	1.0327878698900919	2.0008176712801795	-0.4192568321950396	3.4528623733653108	526	2
bin2-	0.38\GCto 0.44	1.6320459282039967	1.1367442170192197	2.155766321302851	-0.39178893940622705	3.6842994777282976	4069	3
bin2+	0.38\GCto 0.44	1.5387487102946722	1.0540787553002922	2.053643953670811	-0.4452690422554859	3.552991751226589	975	4
bin3-	0.44\GCto 0.50	1.6429111319725043	1.1310431929314104	2.1601044912338194	-0.4125487545222031	3.703696438687433	3716	5
bin3+	0.44\GCto 0.50	1.4034362548261121	0.9379695932838856	1.990773065380052	-0.6412356148603637	3.5699782735243013	1256	6
bin4-	0.50\GCto 0.58	1.570258825814736	1.0579393413815559	2.101199985640493	-0.50695162500685	3.666090952028899	3220	7
bin4+	0.50\GCto 0.58	1.3622906384285973	0.9120588343952518	1.9461231420929583	-0.6390376271513081	3.4972196036395182	1806	8
bin5-	0.58\GCto 0.82	1.4190429250101246	0.9384320937568859	1.9553377370058818	-0.5869263711166078	3.4806962018793755	2870	9
bin5+	0.58\GCto 0.82	1.3095820045469921	0.8399225612829191	1.8295218894735892	-0.6444764310030859	3.313920881759594	2497	10
