sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	2.486009407423875	2.0505934121005027	2.9362403222904745	0.7221230468155451	4.264710687575432	5360	1
bin1+	0.20\GCto 0.42	2.484110810555167	2.01949142191147	2.930683082526337	0.6527039309891698	4.297470573448638	757	2
bin2-	0.42\GCto 0.49	2.535678678430666	2.0645948981834508	2.9937840543981116	0.6708111638614596	4.387567788720103	5062	3
bin2+	0.42\GCto 0.49	2.4502994363264934	2.0047177489905095	2.929363069741888	0.6177497678634414	4.316331050868956	1489	4
bin3-	0.49\GCto 0.55	2.5110670671371444	2.0512548624362554	2.9967314131354654	0.6330400363874404	4.41494623918428	4533	5
bin3+	0.49\GCto 0.55	2.441813005266546	1.960512174420288	2.916535942610881	0.5264765221343986	4.3505715948967705	1884	6
bin4-	0.55\GCto 0.60	2.4846114909326005	2.0347874211350883	2.955392756122536	0.6538794186539167	4.3363007586037075	3827	7
bin4+	0.55\GCto 0.60	2.3896924487627595	1.9106903991421407	2.8815202494584713	0.4544456236676446	4.337765024932967	2153	8
bin5-	0.60\GCto 0.84	2.3502488925631884	1.8726518150135782	2.8499738157002623	0.40666881398355215	4.315956816730289	4119	9
bin5+	0.60\GCto 0.84	2.2939980383136587	1.8314548724662005	2.7801814966742544	0.40836493615411973	4.203271432986336	3136	10
