sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	3.197232073748089	2.5005813881279093	3.9260937445417072	0.3623128535072122	6.064362279162404	2088	1
bin1+	0.16\GCto 0.29	2.842248523479097	2.1452750164533647	3.5894885779977357	-0.021045325863191522	5.755808920314292	1187	2
bin2-	0.29\GCto 0.32	3.298410280758077	2.6375175892073988	3.894824720484608	0.7515568922915852	5.780785417400422	2147	3
bin2+	0.29\GCto 0.32	2.9207880450239174	2.183694660576796	3.610059989351302	0.04414666741503703	5.74960798251306	1374	4
bin3-	0.32\GCto 0.35	3.188315295178574	2.5120526777721373	3.900338075895412	0.4296245805872254	5.982766173080323	1905	5
bin3+	0.32\GCto 0.35	2.8680970454289456	2.1658533651860887	3.582733990021974	0.04053242793226097	5.708054927275802	1255	6
bin4-	0.35\GCto 0.39	3.0927693585720473	2.440911155375159	3.8025964042946168	0.39838328199597184	5.845124277673804	1881	7
bin4+	0.35\GCto 0.39	2.7591304633450844	2.051228273774906	3.405552712115749	0.019741616263640793	5.437039369627014	1288	8
bin5-	0.39\GCto 0.60	2.739300883928437	2.09635144588448	3.516702967634402	-0.034175836740403476	5.647230250259286	1823	9
bin5+	0.39\GCto 0.60	2.545081603376352	1.907998571722611	3.2241265171821567	-0.06619334646670771	5.198318435371475	1188	10
