sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	1.7441496117430904	1.1181491340369556	2.3622389458074218	-0.7479855836187437	4.228373663463121	2228	1
bin1+	0.16\GCto 0.29	1.6936283597797526	1.098775930753733	2.3340821971872443	-0.7541834688965339	4.187041596837512	1257	2
bin2-	0.29\GCto 0.32	1.727122570848354	1.1595517336731649	2.28036091803035	-0.5216620428626126	3.9615746945661274	2289	3
bin2+	0.29\GCto 0.32	1.7302040821855242	1.162734164768798	2.331236009103085	-0.5900186017326323	4.0839887756045155	1451	4
bin3-	0.32\GCto 0.35	1.7982242249544127	1.2844966209233006	2.3761162176557673	-0.35293277417539937	4.013545612754467	2008	5
bin3+	0.32\GCto 0.35	1.5892653265968701	1.0743362563121017	2.2136475048429047	-0.6346306164841027	3.922614377639109	1314	6
bin4-	0.35\GCto 0.39	1.7212628945033668	1.2022486789730986	2.2514308277392487	-0.37152454417612657	3.825204050888474	1964	7
bin4+	0.35\GCto 0.39	1.576232191614071	1.0946491522178998	2.1278327696413233	-0.45512627391723526	3.6776081957764584	1339	8
bin5-	0.39\GCto 0.60	1.6528801511174465	1.168630532742514	2.1715554932722885	-0.33575690805214786	3.67594293406695	1916	9
bin5+	0.39\GCto 0.60	1.5626046169432737	1.0726936022891884	2.0513071303801063	-0.39522668984718834	3.519227422516483	1225	10
