sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	3.28285941547864	2.7363383618947226	3.7990179842141147	1.1423189284156343	5.393037417693203	3390	1
bin1+	0.17\GCto 0.38	3.0123938649683715	2.3967312969708194	3.6030424560933305	0.5872645582870528	5.412509194777098	1730	2
bin2-	0.38\GCto 0.44	3.3952265489436533	2.847796669355372	3.9126643811806723	1.250495101617421	5.509965948918623	3243	3
bin2+	0.38\GCto 0.44	3.1878499575278627	2.557781306699021	3.7131553616452093	0.8247202242797389	5.446216444064492	1828	4
bin3-	0.44\GCto 0.50	3.3474680346643457	2.742392441202388	3.897517854131715	1.009704321808398	5.630205973525705	3331	5
bin3+	0.44\GCto 0.50	3.1150992925657457	2.4391261390623855	3.736127125463188	0.4936246594611817	5.681628605064391	1614	6
bin4-	0.50\GCto 0.58	3.0143538256362428	2.2988644032005876	3.7295510294829883	0.1528344637769865	5.87558096890659	3484	7
bin4+	0.50\GCto 0.58	2.768834163355092	2.155963045683513	3.522508711933435	0.10614454630862946	5.572327211308318	1484	8
bin5-	0.58\GCto 0.82	2.4533419374507686	1.7813046162509052	3.317941692644688	-0.5236509983397692	5.6228973072353625	3305	9
bin5+	0.58\GCto 0.82	2.231774396554427	1.6117892092495476	3.1037494429937835	-0.45388346369306665	5.341689793610137	1092	10
