sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	1.550601554901323	1.0700064156739835	2.072521399581118	-0.43376606018671837	3.57629387544182	3338	1
bin1+	0.17\GCto 0.38	1.4580045648652362	0.959647425858597	2.0327315530716876	-0.6499787649610391	3.6423577438913237	1693	2
bin2-	0.38\GCto 0.44	1.6428878834523757	1.1511106985509487	2.1674835512412525	-0.3734485804845069	3.692042830276708	3230	3
bin2+	0.38\GCto 0.44	1.5639642524021957	1.052273969993244	2.0907023253247035	-0.5053685630039453	3.6483448583218925	1814	4
bin3-	0.44\GCto 0.50	1.6011359567942565	1.0972639582395938	2.1324637851890946	-0.4555357821846575	3.6852635256133457	3350	5
bin3+	0.44\GCto 0.50	1.5581028026996717	1.0320590210568068	2.108782482275304	-0.5830261707709388	3.723867674103049	1622	6
bin4-	0.50\GCto 0.58	1.5365824277766236	1.0236335012087117	2.0771532513013473	-0.5566461239302418	3.657432876440301	3524	7
bin4+	0.50\GCto 0.58	1.4167338506582026	0.9483780905333223	2.0070909390327785	-0.6396911822158617	3.5951602117819625	1502	8
bin5-	0.58\GCto 0.82	1.391743835116737	0.8949166221496083	1.9198493231398264	-0.6424824293357188	3.4572483746251534	4070	9
bin5+	0.58\GCto 0.82	1.321313836121659	0.8368383500380849	1.8322064160461804	-0.6562137489740583	3.325258515058324	1297	10
