sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	3.7383921699213696	3.0815459655369484	4.338671811387764	1.1958571967607252	6.224360580163987	4255	1
bin1+	0.20\GCto 0.42	3.557540560741794	2.906092116980714	4.1746294577663114	1.0032861058023181	6.077435468944707	2036	2
bin2-	0.42\GCto 0.49	3.732412768088974	3.0357116229862773	4.370765706828078	1.0331304972235755	6.37334683259078	4594	3
bin2+	0.42\GCto 0.49	3.52907644699652	2.75763760860739	4.254265468981645	0.5126958180460082	6.499207259543027	1979	4
bin3-	0.49\GCto 0.55	3.5180215812213196	2.6627156816043813	4.3026117899251375	0.20287151912324708	6.762455952406272	4440	5
bin3+	0.49\GCto 0.55	3.2556455119376473	2.2676352970617426	4.115598208738239	-0.40180000912428815	6.887542576252983	1886	6
bin4-	0.55\GCto 0.60	3.0145108965970966	2.1513753556735375	4.04281681823951	-0.6857868381754213	6.879979012088469	4177	7
bin4+	0.55\GCto 0.60	2.8750699957152746	1.940862714368152	3.8594535801396415	-0.9370235842890822	6.737339878796876	1538	8
bin5-	0.60\GCto 0.84	2.3520855038831368	1.6416553662233668	3.378972092611055	-0.8629237259199858	5.984947182192587	4271	9
bin5+	0.60\GCto 0.84	2.246038784688519	1.495232090910052	3.2750128130745213	-0.20889208896417433	5.944683896321225	1204	10
