sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	2.4959667631354736	2.0536042402145984	2.9372947428678824	0.7280684862346725	4.262830496847808	4157	1
bin1+	0.20\GCto 0.42	2.4624748607972977	2.027038348914422	2.931225838688636	0.670757114253101	4.287507073349957	1960	2
bin2-	0.42\GCto 0.49	2.543579348383942	2.0699578194994883	2.992497571057397	0.6861481921626251	4.37630719839426	4576	3
bin2+	0.42\GCto 0.49	2.4592120083694806	2.010235440496385	2.9317652902949387	0.6279406657985542	4.31406006499277	1975	4
bin3-	0.49\GCto 0.55	2.4959983786666773	2.0302040061467506	2.980507618381634	0.6047485877944252	4.40596303673396	4507	5
bin3+	0.49\GCto 0.55	2.4739217691075206	1.997170423541786	2.9657486503275705	0.5443030833631093	4.418615990506247	1910	6
bin4-	0.55\GCto 0.60	2.4564091101584573	1.9930867659841536	2.934345564810827	0.5811985677441436	4.3462337630508365	4384	7
bin4+	0.55\GCto 0.60	2.4365036442913466	1.9519262515353875	2.937061331569233	0.4742236314846193	4.414763951620001	1596	8
bin5-	0.60\GCto 0.84	2.318872206380559	1.8410272386566433	2.8029282861070817	0.39817566748098576	4.24577985728274	5705	9
bin5+	0.60\GCto 0.84	2.3631459272797732	1.879559518431421	2.8771465921552575	0.38317890784566644	4.373527202741013	1550	10
