sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-1.322495789491085	-1.9917882294203648	-0.5456383510737426	-4.161013046940298	1.6235864664461908	3477	1
bin1+	0.16\GCto 0.29	-1.450341271730013	-2.0105215162047885	-0.6446541213642107	-4.003088181787571	0.8683257792695485	54	2
bin2-	0.29\GCto 0.32	-1.5563933485243853	-2.2120368036409377	-0.7661119398257225	-4.38092409936376	1.4027753558971003	3617	3
bin2+	0.29\GCto 0.32	-1.3334358499839023	-2.0263451307886475	-0.8128942313897969	-3.3161152939572145	1.0072821177084792	60	4
bin3-	0.32\GCto 0.35	-1.6795964646639439	-2.263529938267042	-0.8692222615460597	-4.354991453348515	1.2222392535354136	3189	5
bin3+	0.32\GCto 0.35	-1.524785044519022	-2.391048741364142	-0.848149086021313	-3.0588936890535683	1.4662003969929307	59	6
bin4-	0.35\GCto 0.39	-1.7712734797342622	-2.3131192377558865	-0.9735357211000677	-4.322494512739615	1.0358395538836604	3166	7
bin4+	0.35\GCto 0.39	-1.8930944931764455	-2.262166046299701	-1.0690226663730282	-3.608809242675524	0.720692403516981	75	8
bin5-	0.39\GCto 0.60	-1.9812230986451125	-2.3950055676462307	-1.323600768018217	-4.002112767088251	0.28350643142380383	3003	9
bin5+	0.39\GCto 0.60	-1.9346458168958955	-2.4007271603089597	-1.5119233709771838	-3.5861354632386813	-0.17871768697951995	77	10
