sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-2.736568267935865	-3.3492404943436993	-2.0979185077878655	-5.22622347417745	-0.22093552795411475	3646	1
bin1+	0.16\GCto 0.29	-2.3681732770752846	-2.852210011383541	-1.6656171355554878	-4.632099325125621	0.11427217818659208	57	2
bin2-	0.29\GCto 0.32	-2.658044798299544	-3.2170525779800108	-2.0398096356642856	-4.982916991453599	-0.27394522219069795	3762	3
bin2+	0.29\GCto 0.32	-2.4062212757995307	-2.9566991960372255	-1.5014208123206667	-3.845189895936346	0.6269411597558735	62	4
bin3-	0.32\GCto 0.35	-2.6596428689457494	-3.2071938300301905	-2.0945385930482145	-4.876176685503155	-0.42555573757525056	3315	5
bin3+	0.32\GCto 0.35	-2.665674611023234	-3.139771127683811	-1.8428626321008972	-4.788772478519639	0.1025001112734738	60	6
bin4-	0.35\GCto 0.39	-2.684140725980141	-3.2183294506014626	-2.1199140921246977	-4.86595248831661	-0.47229105440955044	3257	7
bin4+	0.35\GCto 0.39	-2.5183041631803347	-3.1261123830548794	-1.4978263415250919	-5.5685414453495605	0.9446027207695893	76	8
bin5-	0.39\GCto 0.60	-2.7145153262384385	-3.2057686076212955	-2.197715491793609	-4.717848281362825	-0.6856358180520794	3073	9
bin5+	0.39\GCto 0.60	-2.5223490248693974	-3.054448987864446	-1.726293270431377	-4.647771523282337	0.2659403057182268	79	10
