sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.6084051092506828	-2.3392887844765453	-0.7904427976929321	-4.6625577646519645	1.5328261824824874	5213	1
bin1+	0.17\GCto 0.38	-1.6877733039151184	-2.5049927847614137	-0.7834733325283061	-4.045248564042623	1.7988058458213554	85	2
bin2-	0.38\GCto 0.44	-1.827358613434123	-2.5548075829616694	-0.9427974208777601	-4.972822826087533	1.4752178222481038	5099	3
bin2+	0.38\GCto 0.44	-1.991716075240756	-2.667182401801295	-0.8471677240307607	-3.614127426095184	1.6854660352735311	57	4
bin3-	0.44\GCto 0.50	-2.0235660666704467	-2.720075986819671	-1.1241372377195595	-5.0538366476084455	1.2697708859306076	4948	5
bin3+	0.44\GCto 0.50	-2.0471861896945613	-2.4931013221194456	-1.503368183732106	-3.977701029700455	-0.01876847615109667	72	6
bin4-	0.50\GCto 0.58	-2.4062021768246153	-3.0401939434690712	-1.547530612640994	-5.226703301493876	0.6914643836011218	5054	7
bin4+	0.50\GCto 0.58	-2.4591570057029726	-2.970805987393442	-1.558866621096551	-3.917158931062345	0.5590424283487858	73	8
bin5-	0.58\GCto 0.83	-3.101896303317865	-3.5656596972602967	-2.483745303306245	-5.188531288191374	-0.8608737123751671	5363	9
bin5+	0.58\GCto 0.83	-2.8426223321769752	-3.3828642946819154	-2.0674560084748066	-5.276333889061775	-0.09434357916414338	68	10
