sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.742223039135933	-3.462671253198269	-1.849817550489265	-5.881951807261775	0.5694630035742407	6868	1
bin1+	0.20\GCto 0.42	-2.7914855557563913	-3.534310009963333	-2.0299223718108457	-5.728423116451989	0.22665908541788538	101	2
bin2-	0.42\GCto 0.49	-2.7500186311971837	-3.488144875352031	-1.8027725326476087	-6.016203389408664	0.7252859814090247	6213	3
bin2+	0.42\GCto 0.49	-2.7870521094473357	-3.4327219969743052	-1.9565872578805026	-5.646924105615009	0.2576148507602012	77	4
bin3-	0.49\GCto 0.55	-3.003914338709869	-3.599433863836901	-2.1387856959164475	-5.790406115717581	0.05218655596423272	6465	5
bin3+	0.49\GCto 0.55	-2.865054823797204	-3.2987915241759023	-2.400998047317345	-4.645481739463738	-1.0543078320295094	96	6
bin4-	0.55\GCto 0.61	-3.347230894671296	-3.833196726225798	-2.6494875845587313	-5.6087604387263985	-0.873923872058131	6562	7
bin4+	0.55\GCto 0.61	-3.250223588584681	-3.7715077392377117	-2.619196864205014	-5.422436565433648	-0.8907305516559672	91	8
bin5-	0.61\GCto 0.84	-3.7910024021068986	-4.177326567125316	-3.3581014484842067	-5.4061642450869805	-2.129263770522542	6834	9
bin5+	0.61\GCto 0.84	-3.4406103197690756	-3.9804559757217377	-2.94592984535062	-5.532245171278414	-1.394140649793944	61	10
