sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.7027160459483586	-3.1684041748574483	-2.164850871644745	-4.673734129676503	-0.6595209168256906	6779	1
bin1+	0.20\GCto 0.42	-2.3579379796331703	-3.04256461338243	-1.6905011821339178	-4.4116210297365335	0.3375939647388504	100	2
bin2-	0.42\GCto 0.49	-2.4875396233847793	-3.0684684726961002	-1.8156301004229918	-4.947726031105763	0.06362745798667091	6199	3
bin2+	0.42\GCto 0.49	-1.837103368127392	-2.4372026301961425	-0.840728260551171	-3.9764156022972195	1.5539832939162863	77	4
bin3-	0.49\GCto 0.55	-2.4931555513153816	-3.0728817380195292	-1.7988333704228363	-4.9839542894145685	0.11223918097220298	6450	5
bin3+	0.49\GCto 0.55	-1.5451911962848648	-2.177247284296414	-0.22583333711875575	-4.808458134453815	2.6762541633818717	97	6
bin4-	0.55\GCto 0.61	-2.47884651216076	-3.1085880042734084	-1.7417331290569993	-5.158870317098022	0.3085491837676142	6551	7
bin4+	0.55\GCto 0.61	-1.0773536401109645	-1.8141190633262796	-0.04565067814798622	-4.267218417585774	2.367189508246968	90	8
bin5-	0.61\GCto 0.84	-2.647002426747699	-3.2777243180951183	-1.8829288777267403	-5.369917478647685	0.20926428282582643	6893	9
bin5+	0.61\GCto 0.84	-1.2163872898517871	-1.878015290470754	0.09731925888838741	-3.724076163709902	3.0603210829270995	63	10
