sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-1.339848886041039	-1.9989257667107116	-0.5664270959311355	-4.147673772880076	1.5823209102382285	3442	1
bin1+	0.16\GCto 0.29	-0.6989977439671855	-1.4731038146077062	-0.02922022941893479	-3.378798573887133	2.136605148364222	89	2
bin2-	0.29\GCto 0.32	-1.561691207752641	-2.2071721500905896	-0.7739016234431476	-4.357077940061752	1.376004166528015	3572	3
bin2+	0.29\GCto 0.32	-1.2351778199194858	-2.1082459099483817	-0.5044865351286709	-4.098399718047124	1.9011525271008953	105	4
bin3-	0.32\GCto 0.35	-1.677180844419225	-2.268942989349064	-0.869498234713566	-4.368110121302311	1.229668897239681	3171	5
bin3+	0.32\GCto 0.35	-1.5927661101103188	-2.2269236335360576	-0.45711304992471474	-3.8249641150005584	2.1976028254922997	77	6
bin4-	0.35\GCto 0.39	-1.786924626496874	-2.3250774642211844	-0.9918027467768924	-4.324989540387623	1.0081093293895458	3148	7
bin4+	0.35\GCto 0.39	-1.171737286046008	-1.9950400040738072	-0.3410776961227878	-3.480357457491845	1.909880412884804	93	8
bin5-	0.39\GCto 0.60	-1.985772110169856	-2.399606626532416	-1.3523287688698995	-3.970523413026191	0.21858801762387547	3027	9
bin5+	0.39\GCto 0.60	-1.471796328339627	-2.0084427769190913	-0.3959286763311388	-2.7285066441953547	1.4215383281862581	53	10
