sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-2.7338669363742247	-3.347794784369145	-2.095308863495614	-5.2265236656794425	-0.21657998218531693	3611	1
bin1+	0.16\GCto 0.29	-2.5512183474776773	-3.2513086239044684	-1.6964711512515045	-5.258795439722058	-0.08005412943769519	92	2
bin2-	0.29\GCto 0.32	-2.657132055855237	-3.2091953229996664	-2.0411820558714293	-4.961215223692022	-0.28916215517907373	3719	3
bin2+	0.29\GCto 0.32	-2.5014308689120144	-3.302867686795311	-1.7726237679044998	-4.93593072643829	0.5227421104317167	105	4
bin3-	0.32\GCto 0.35	-2.667974165841603	-3.2088884307937278	-2.0954732594101166	-4.8790111878691445	-0.42535050233469995	3296	5
bin3+	0.32\GCto 0.35	-2.431428141579953	-2.9617740783517514	-1.6056654448751226	-4.398134985653524	0.4284975053398208	79	6
bin4-	0.35\GCto 0.39	-2.69078054362264	-3.226892265689807	-2.123207306586835	-4.882419704344265	-0.4676798679323768	3240	7
bin4+	0.35\GCto 0.39	-2.415997659727573	-2.799760301773075	-1.4412513980497552	-4.837523657358055	0.5965119575352245	93	8
bin5-	0.39\GCto 0.60	-2.714785690512167	-3.2076362845821635	-2.1970055262432275	-4.723582422090567	-0.6810593887348235	3098	9
bin5+	0.39\GCto 0.60	-2.420405001979109	-2.835799801107462	-1.7236726442692563	-4.105102295633042	-0.5965663951054605	54	10
