sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.6133489392561255	-2.3422712649418056	-0.7900794248095193	-4.670559025140236	1.5382083353889102	5235	1
bin1+	0.17\GCto 0.38	-1.3620012718412937	-2.340554041409579	-0.8610668335553424	-4.005669073525699	1.3581639782260122	63	2
bin2-	0.38\GCto 0.44	-1.838811946554086	-2.5643857568227757	-0.9543475982981344	-4.979442994609737	1.4607096394888273	5065	3
bin2+	0.38\GCto 0.44	-1.2102450977190493	-2.2450477395053285	-0.2785912340602169	-4.123233278157652	2.5448784218648193	91	4
bin3-	0.44\GCto 0.50	-2.027806003040225	-2.7176578988031137	-1.1395136420465724	-5.0538366476084455	1.2277027430882397	4932	5
bin3+	0.44\GCto 0.50	-1.4751359007076248	-2.618550943961955	-0.36063508906529707	-4.050444866014844	2.4840609915763285	88	6
bin4-	0.50\GCto 0.58	-2.4101988932903193	-3.0399241670619888	-1.5586833031220304	-5.226703301493876	0.6631779927879071	5040	7
bin4+	0.50\GCto 0.58	-2.156880131544203	-2.982476062440505	-0.9023127926994421	-4.293731107823026	2.2179321119121527	87	8
bin5-	0.58\GCto 0.83	-3.101896303317865	-3.5678927732882517	-2.4840767449810937	-5.193616815748989	-0.8583527025203566	5359	9
bin5+	0.58\GCto 0.83	-2.7575918108172948	-3.3225255844563577	-2.136947705833318	-4.198648152502996	-0.35858088789875886	72	10
