sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.6710964227722194	-2.172944802183678	-1.1268254991296862	-3.7421237567646655	0.44235345545130134	5221	1
bin1+	0.17\GCto 0.38	-1.5527902901290118	-2.0859176802393518	-0.8965673832163248	-3.8699431257738923	0.5653002537441203	62	2
bin2-	0.38\GCto 0.44	-1.5184799012827779	-2.041957732376842	-0.9044047791334651	-3.748287162241907	0.8019246507316	5081	3
bin2+	0.38\GCto 0.44	-1.0461344583382273	-1.7087022987600249	-0.2656665050134558	-2.8007076408900873	1.4384389341999397	91	4
bin3-	0.44\GCto 0.50	-1.4498727451991482	-1.9855361618351839	-0.810452347689478	-3.7481618830537426	0.9521733735290807	4964	5
bin3+	0.44\GCto 0.50	-0.8529057868324376	-1.6635321100538842	-0.05760656071081553	-3.36644771509761	1.690442607374827	88	6
bin4-	0.50\GCto 0.58	-1.4593353481472962	-2.0102309452118328	-0.8466368870166148	-3.7556220325046596	0.8987542002762121	5036	7
bin4+	0.50\GCto 0.58	-1.1973301327192871	-1.8143914995632473	-0.11731288318950689	-3.4616359709119067	2.4283050413711034	87	8
bin5-	0.58\GCto 0.83	-1.535248219282801	-2.0860864069803777	-0.8563045398030993	-3.9307592077462954	0.9883682609628184	5460	9
bin5+	0.58\GCto 0.83	-0.670025525218848	-1.4920141606535704	-0.061553197640842994	-2.95583279725318	1.9448315053506628	75	10
