sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.7557210300531763	-3.4674390292892268	-1.8672770245620636	-5.867682036379971	0.532965982528681	6842	1
bin1+	0.20\GCto 0.42	-2.3264909175472424	-3.1523032340034605	-0.8912613805042652	-4.851459338106305	2.500301399744528	127	2
bin2-	0.42\GCto 0.49	-2.7603422090907337	-3.4914911952341425	-1.8272414366232184	-5.987865833150529	0.6691332012931679	6106	3
bin2+	0.42\GCto 0.49	-2.3590758699798773	-3.221143061462983	-1.1953036797535974	-4.993828931764179	1.8434553928104807	184	4
bin3-	0.49\GCto 0.55	-3.0070058570417655	-3.597974788036087	-2.1569174551955346	-5.759560787296915	0.004668544065293823	6394	5
bin3+	0.49\GCto 0.55	-2.7747034093431306	-3.534877732039032	-1.6532952023304512	-5.049189396458361	0.7196070402085367	167	6
bin4-	0.55\GCto 0.61	-3.3534290843782464	-3.836808599086358	-2.660518716362369	-5.601243423172341	-0.8960838922763861	6485	7
bin4+	0.55\GCto 0.61	-2.9993728972803937	-3.6716942400324846	-2.3507029998836053	-5.008633857078518	-0.36921613966028644	168	8
bin5-	0.61\GCto 0.84	-3.7916136713847823	-4.178847730599259	-3.357254386337778	-5.41123774699148	-2.124864369945557	6739	9
bin5+	0.61\GCto 0.84	-3.6900706374716883	-4.030890136165485	-3.2250355938291824	-5.23967194966994	-2.016253780324728	156	10
