sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.7024011138100095	-3.1684041748574483	-2.1591040281974605	-4.6823543948474295	-0.6451538082074788	6748	1
bin1+	0.20\GCto 0.42	-2.5868656918352837	-3.072182762076038	-1.807174064042277	-4.287678546669515	0.090338983008364293	131	2
bin2-	0.42\GCto 0.49	-2.4921459674970556	-3.075344651251326	-1.8235815807702087	-4.952989256973002	0.05406302495146731	6091	3
bin2+	0.42\GCto 0.49	-1.9419864972515812	-2.614775819549964	-1.149275006256436	-4.195388966836604	1.048976213683856	185	4
bin3-	0.49\GCto 0.55	-2.4916151516374976	-3.073800166593153	-1.7937618070903516	-4.993857705847355	0.12629573216385048	6379	5
bin3+	0.49\GCto 0.55	-2.0577514144647973	-2.746100303752179	-1.1530839019218972	-5.135624906497602	1.2364407008235259	168	6
bin4-	0.55\GCto 0.61	-2.4770048172560974	-3.108754710671276	-1.7232595357365956	-5.186997473073296	0.3549832266654245	6474	7
bin4+	0.55\GCto 0.61	-2.0357568691197026	-2.685717529069624	-1.2103620067458127	-4.349300815948699	1.0026712767399042	167	8
bin5-	0.61\GCto 0.84	-2.6551964357306748	-3.280519195815745	-1.8821471780931676	-5.378077222399611	0.21541084849069847	6799	9
bin5+	0.61\GCto 0.84	-2.1279489070212776	-2.8109846872867763	-1.1262909653619535	-4.878729738352684	1.4007496175252805	157	10
