sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-1.4883844914601014	-2.09840867417624	-0.7465981489989088	-4.126124461942237	1.2811176387670882	2090	1
bin1+	0.16\GCto 0.29	-1.0749273134332367	-1.8366747474351173	-0.20403435672475298	-4.2856353335006645	2.244926229340794	1441	2
bin2-	0.29\GCto 0.32	-1.6979447793511149	-2.296045923865295	-0.9305451638459624	-4.3442970638942935	1.1177059761830361	2533	3
bin2+	0.29\GCto 0.32	-1.240340653037079	-1.9557986648002963	-0.35743409188897035	-3.9386209954920446	2.040112767478019	1144	4
bin3-	0.32\GCto 0.35	-1.7986631996228182	-2.320774515280647	-1.0746049380333371	-4.190028881151612	0.7946494278376279	2363	5
bin3+	0.32\GCto 0.35	-1.2673574211648642	-1.955473685529134	-0.2924684262474273	-4.286881147788161	2.202039462675133	885	6
bin4-	0.35\GCto 0.39	-1.8709510070778534	-2.3782092269389103	-1.1372241948481392	-4.239686775075067	0.7242533532880175	2565	7
bin4+	0.35\GCto 0.39	-1.2515387669959641	-2.065556835132132	-0.31054459162863335	-4.024238803245696	2.321973773626614	676	8
bin5-	0.39\GCto 0.60	-2.0376373789378155	-2.4197252228267434	-1.4415400417890498	-3.887002994383284	0.025737729767490558	2700	9
bin5+	0.39\GCto 0.60	-1.4326282183709322	-2.0805748860013273	-0.38952797413896845	-4.617145253794866	2.14704239365457	380	10
