sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-2.860980817630022	-3.455082590767302	-2.280093214983655	-5.2175666544427735	-0.5176091513081837	2201	1
bin1+	0.16\GCto 0.29	-2.4841939936093578	-3.1499774855894116	-1.8049902505591717	-5.167458338134772	0.21249060198618785	1502	2
bin2-	0.29\GCto 0.32	-2.789126522783638	-3.300707297992626	-2.2570887389851335	-4.866135136503865	-0.6916609004738945	2621	3
bin2+	0.29\GCto 0.32	-2.262961650360544	-2.954965981150732	-1.618650388979877	-4.959439369407014	0.3858229992764053	1203	4
bin3-	0.32\GCto 0.35	-2.7867640764162656	-3.274423858107305	-2.246140978725427	-4.8168481771801215	-0.7037166596526101	2449	5
bin3+	0.32\GCto 0.35	-2.3244486651294705	-2.9442371918545436	-1.70058782843111	-4.809711236989694	0.16488621670404036	926	6
bin4-	0.35\GCto 0.39	-2.7838663135534105	-3.2889664897589417	-2.284374583103733	-4.795854349741755	-0.7774867231209199	2643	7
bin4+	0.35\GCto 0.39	-2.1857498600704215	-2.801255849819026	-1.4962252394567155	-4.758801765362492	0.46132067608675054	690	8
bin5-	0.39\GCto 0.60	-2.760434313185929	-3.2474359664887276	-2.2847848366213386	-4.691412661289811	-0.8408081418202551	2764	9
bin5+	0.39\GCto 0.60	-2.1420068398086203	-2.8369393286488487	-1.4847679943374552	-4.865196330115939	0.5434890071296352	388	10
