sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.861452300129146	-2.5500704867355277	-1.1460147144533899	-4.656154145158734	0.9600689439698167	3767	1
bin1+	0.17\GCto 0.38	-0.8716061460149882	-1.6097896551360402	-0.06600896891809506	-3.925460684462958	2.2496620604088227	1531	2
bin2-	0.38\GCto 0.44	-2.0880296923066375	-2.7128904181388886	-1.3402535312381132	-4.771845748490052	0.7187017991130502	3888	3
bin2+	0.38\GCto 0.44	-0.8727380210639478	-1.7343314218062962	-0.016973497833089296	-4.130447606982343	2.559063388126721	1268	4
bin3-	0.44\GCto 0.50	-2.293505164685007	-2.8679921051976383	-1.593855199488863	-4.779197463760801	0.3173501590743	3845	5
bin3+	0.44\GCto 0.50	-0.8733915031043543	-1.6701767244006467	-0.09364273147984623	-4.034977713781847	2.2711582579013547	1175	6
bin4-	0.50\GCto 0.58	-2.5939909028818375	-3.1299048090603745	-1.8776843339422902	-5.008235521737501	6.463787348363059e-4	4250	7
bin4+	0.50\GCto 0.58	-1.0900494669877276	-1.923380355396226	-0.3282560056539191	-3.9403882027961163	2.0644305189595413	877	8
bin5-	0.58\GCto 0.83	-3.1748459975245096	-3.6076003714869547	-2.641831550231257	-5.056253603370502	-1.19317831834771	4833	9
bin5+	0.58\GCto 0.83	-2.0493023289064123	-2.736002030500961	-1.1062892919546317	-5.180571138320454	1.338279815864862	598	10
