sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.7957508263066675	-2.2563460527600654	-1.3388069590853577	-3.632654693272127	0.03750168142670374	3760	1
bin1+	0.17\GCto 0.38	-1.2653727315518708	-1.8302793952693308	-0.5845795013610282	-3.6988292361317847	1.2839703395014257	1523	2
bin2-	0.38\GCto 0.44	-1.6680772502788295	-2.124665646095965	-1.1587876550652085	-3.5734826326421	0.29002933148092613	3908	3
bin2+	0.38\GCto 0.44	-0.8002866659677531	-1.5286924442199274	-0.06010838065167097	-3.7315685395723124	2.142767714700714	1264	4
bin3-	0.44\GCto 0.50	-1.6082927326943937	-2.0775998085535146	-1.104649836427611	-3.5370247667423698	0.3547751217612445	3872	5
bin3+	0.44\GCto 0.50	-0.6064448578578286	-1.3341741478980493	0.09812749595079666	-3.4826266136713184	2.246579961724066	1180	6
bin4-	0.50\GCto 0.58	-1.5686804915652415	-2.085787036966021	-1.0506725262140115	-3.6384588030940357	0.501999239914003	4253	7
bin4+	0.50\GCto 0.58	-0.5133892520249002	-1.260320912766566	0.21928611795356218	-3.479731458846758	2.4386966640337544	870	8
bin5-	0.58\GCto 0.83	-1.6179121032576964	-2.1387570776556792	-1.031747008267325	-3.7992721817382105	0.6287680958152062	4928	9
bin5+	0.58\GCto 0.83	-0.13947157926342624	-1.0724477233893779	0.6912553488102386	-3.718002331688803	3.048817179799361	607	10
