sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.976603627315882	-3.595974399417074	-2.1791964743609196	-5.721141287001306	-0.054029586776687566	5392	1
bin1+	0.20\GCto 0.42	-1.885488461865443	-2.6592724668115117	-0.87618758237200145	-5.333899793470777	1.7984397442872635	1577	2
bin2-	0.42\GCto 0.49	-3.004123089622319	-3.6232312364064576	-2.237640669697145	-5.701617086470426	-0.15925481963317667	4769	3
bin2+	0.42\GCto 0.49	-1.7406197525324636	-2.5602187247628194	-0.8265036514635533	-5.1607913347117185	1.7740689584853457	1521	4
bin3-	0.49\GCto 0.55	-3.2079423245138527	-3.7050794512095204	-2.5214737819404114	-5.480487955113184	-0.7460652780367478	5156	5
bin3+	0.49\GCto 0.55	-1.9148737443406842	-2.6880346107878266	-1.1112143903066283	-5.0532649415096245	1.2540159404151692	1405	6
bin4-	0.55\GCto 0.61	-3.473762056591467	-3.9124926473590773	-2.9124677793263762	-5.412529949408129	-1.4124304772773246	5495	7
bin4+	0.55\GCto 0.61	-2.342151699298189	-3.0292462602829704	-1.453078571860726	-5.393497792916337	0.9111729607726406	1158	8
bin5-	0.61\GCto 0.84	-3.836885212212079	-4.2071873462989196	-3.4374199869335835	-5.361838385346924	-2.2827689478855797	6160	9
bin5+	0.61\GCto 0.84	-3.200597679506769	-3.7565206756006404	-2.39220108757904	-5.8030000576330405	-0.3457217055466395	735	10
