sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.7914681432197503	-3.237158848849126	-2.332885364441514	-4.593569075460544	-0.9764751378300958	5303	1
bin1+	0.20\GCto 0.42	-2.221876298891087	-2.8435208578281834	-1.5185860590435358	-4.830923056005155	0.46881613913343556	1576	2
bin2-	0.42\GCto 0.49	-2.6491484166882615	-3.176373108347444	-2.1176923019214717	-4.764394317986402	-0.5296710922825136	4754	3
bin2+	0.42\GCto 0.49	-1.6220046093914071	-2.3897530224824584	-0.8724913876035796	-4.665645474800776	1.4034010647147386	1522	4
bin3-	0.49\GCto 0.55	-2.653956852079507	-3.1930784015042377	-2.0744191532634404	-4.8710672738654335	-0.3964302809022444	5138	5
bin3+	0.49\GCto 0.55	-1.519484529024441	-2.287192650050603	-0.7684164790114448	-4.56535690660934	1.5097477775472918	1409	6
bin4-	0.55\GCto 0.61	-2.6372159607936334	-3.200708754240093	-2.011192507519805	-4.984983124320525	-0.22691813743937317	5478	7
bin4+	0.55\GCto 0.61	-1.29852541526827	-2.0732445521662912	-0.5245278414263548	-4.396319618276196	1.7985472246835497	1163	8
bin5-	0.61\GCto 0.84	-2.7642975956813904	-3.3334784757036138	-2.101707539683723	-5.181134879733451	-0.2540511356538864	6213	9
bin5+	0.61\GCto 0.84	-1.0139644384003894	-1.8011180846953865	-0.3702058714991626	-3.947486404489722	1.7761624482951732	743	10
