sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-1.3340542512426012	-2.0001824747937023	-0.5532774028979324	-4.170540082637357	1.6170802049457222	3348	1
bin1+	0.16\GCto 0.29	-1.2036187332252148	-1.7338058008778003	-0.3990893685570531	-3.4885150089578127	1.6029852799240676	183	2
bin2-	0.29\GCto 0.32	-1.5857171839640833	-2.23212205715123	-0.8047370237207148	-4.3731996072970025	1.3363405264250579	3306	3
bin2+	0.29\GCto 0.32	-1.2868811477881617	-1.9176082681384963	-0.5139337901504281	-4.023119985120599	1.5915779268316745	371	4
bin3-	0.32\GCto 0.35	-1.7067646544852837	-2.2868811477881614	-0.8941328973997928	-4.376003523370715	1.19498947818276	2758	5
bin3+	0.32\GCto 0.35	-1.4813748587141213	-2.1124967608181406	-0.6550546716682073	-3.740326445592421	1.5311084620566928	490	6
bin4-	0.35\GCto 0.39	-1.8249008279686292	-2.351660835985307	-1.0257474459432305	-4.340530921048422	0.9631226391198842	2676	7
bin4+	0.35\GCto 0.39	-1.4540948418495714	-2.151636884950724	-0.7438643605085256	-4.2632956716140225	1.3677944261547723	565	8
bin5-	0.39\GCto 0.60	-2.028251004556065	-2.414747124312081	-1.3838381507303337	-3.9611105846847017	0.16252530964228717	2388	9
bin5+	0.39\GCto 0.60	-1.8404751354330111	-2.288512687490286	-1.192274492146715	-3.932869980505642	0.4520828008686413	692	10
