sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-2.729902074790851	-3.3477219019253526	-2.0824736070860865	-5.245594344184251	-0.18460116482718747	3516	1
bin1+	0.16\GCto 0.29	-2.6656324862690504	-3.3207686331140542	-2.1494111528011404	-5.077804853583425	-0.39237493233176957	187	2
bin2-	0.29\GCto 0.32	-2.6543045569318315	-3.2144652309211894	-2.031741453681296	-4.98855089678103	-0.2576557878214556	3445	3
bin2+	0.29\GCto 0.32	-2.6555036535309795	-3.206077176169775	-2.07409533117989	-4.904049943654602	-0.3761225636950627	379	4
bin3-	0.32\GCto 0.35	-2.664600121782389	-3.2044100996712968	-2.0973020029591076	-4.86507224473958	-0.43663985789082393	2878	5
bin3+	0.32\GCto 0.35	-2.6392615524309027	-3.217471645394163	-2.0581932504875122	-4.95638923775414	-0.3192756581275358	497	6
bin4-	0.35\GCto 0.39	-2.6610424170085833	-3.2095272346818255	-2.1075109721185856	-4.862551628526686	-0.45448657827372574	2753	7
bin4+	0.35\GCto 0.39	-2.7736304661688433	-3.265713111758906	-2.130070094069838	-4.969177638292508	-0.42660556753623613	580	8
bin5-	0.39\GCto 0.60	-2.681490928169313	-3.1923453040676946	-2.1624344039943892	-4.737211654177653	-0.6175680538844313	2451	9
bin5+	0.39\GCto 0.60	-2.7975516642117912	-3.272669976978844	-2.274270686191209	-4.7702689131602964	-0.7766717500097569	701	10
