sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.6241957166198986	-2.3738017259025472	-0.8009748109737516	-4.67463868094954	1.5582655614194418	4747	1
bin1+	0.17\GCto 0.38	-1.4013921350447838	-2.098454314989571	-0.6865352292200602	-4.216332943643838	1.4313433994342064	551	2
bin2-	0.38\GCto 0.44	-1.8623489410406715	-2.583708683670732	-0.986375469301298	-4.979708505224883	1.409624352252853	4151	3
bin2+	0.38\GCto 0.44	-1.6903441428614232	-2.462256406986028	-0.803256222058105	-4.445161373045015	1.6852440553337797	1005	4
bin3-	0.44\GCto 0.50	-2.0801243396813316	-2.766559814095398	-1.1883212499584035	-5.0538366476084455	1.1790365962470886	3756	5
bin3+	0.44\GCto 0.50	-1.9036405915453432	-2.5860861223791667	-0.9460112073830325	-4.741752876808078	1.5141011651111689	1264	6
bin4-	0.50\GCto 0.58	-2.4956106894468464	-3.076258150733338	-1.6308175444673352	-5.226703301493876	0.5373433649316692	3286	7
bin4+	0.50\GCto 0.58	-2.271789633670184	-2.965482365293688	-1.3733718199274279	-4.741479587348303	1.014793998121962	1841	8
bin5-	0.58\GCto 0.83	-3.126926695655876	-3.5765496341200755	-2.549501072859047	-5.117122476011618	-1.0089282309675043	2907	9
bin5+	0.58\GCto 0.83	-3.0583028112595425	-3.5472051222574743	-2.360198872323859	-5.327714497157897	-0.5796894974234359	2524	10
