sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.6742900972395844	-2.180229555044218	-1.1258032546198184	-3.761869005680817	0.4558361960167807	4735	1
bin1+	0.17\GCto 0.38	-1.6140788011492047	-2.1032976544463255	-1.123683819561478	-3.572718406773597	0.3457369327657933	548	2
bin2-	0.38\GCto 0.44	-1.5047586579115346	-2.0340995125928765	-0.8904651875231121	-3.749551000197523	0.8249863000815346	4163	3
bin2+	0.38\GCto 0.44	-1.5407795950955228	-2.059381927963048	-0.94220990857124	-3.7351399570507597	0.7335481205164717	1009	4
bin3-	0.44\GCto 0.50	-1.4421620427476434	-1.9825615982323077	-0.7726826815697245	-3.7973799732261826	1.0421356934241504	3773	5
bin3+	0.44\GCto 0.50	-1.4572092163715937	-1.9854081333631612	-0.8291322557476407	-3.719821949786442	0.9052815606756403	1279	6
bin4-	0.50\GCto 0.58	-1.4392567494928994	-2.032161178909682	-0.7998409518910429	-3.8806415194376407	1.0486393886369156	3280	7
bin4+	0.50\GCto 0.58	-1.4701242639127932	-1.981265946605157	-0.8833888442101419	-3.62808160019768	0.7634268093823808	1843	8
bin5-	0.58\GCto 0.83	-1.5423456327664151	-2.1263172477609924	-0.859670304863446	-4.026287662107312	1.0403001094828737	2959	9
bin5+	0.58\GCto 0.83	-1.508724196457446	-2.0472180555885666	-0.8211179302957878	-3.886368243527735	1.0180322576433805	2576	10
