sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.7839485668539115	-3.490460605684273	-1.901822472376736	-5.873417805645579	0.48113472758456943	6097	1
bin1+	0.20\GCto 0.42	-2.479128346983935	-3.271963574595199	-1.5496860292858687	-5.855379892559194	1.0337302886781266	872	2
bin2-	0.42\GCto 0.49	-2.792206988976591	-3.50260555666477	-1.8714305581486759	-5.94936805443891	0.5753319396254648	4825	3
bin2+	0.42\GCto 0.49	-2.6280142247514577	-3.4315020438716846	-1.5905299987956376	-6.192960111485755	1.170928068818433	1465	4
bin3-	0.49\GCto 0.55	-3.037015307880014	-3.6023021310332592	-2.1867849423828547	-5.725577914008866	-0.0635091594072481	4607	5
bin3+	0.49\GCto 0.55	-2.9223250316946765	-3.5694135106976237	-2.0454518705052855	-5.855355970986131	0.2404905897832217	1954	6
bin4-	0.55\GCto 0.61	-3.3752081849057625	-3.8428795217700666	-2.699761825314832	-5.557556066452919	-0.9850852806319803	4208	7
bin4+	0.55\GCto 0.61	-3.2849969827460934	-3.807587476609449	-2.567039525236389	-5.668409403669039	-0.7062175981767986	2445	8
bin5-	0.61\GCto 0.84	-3.782003716810353	-4.170472442554817	-3.3892860032130274	-5.342252101567501	-2.217506344200343	3896	9
bin5+	0.61\GCto 0.84	-3.7962563968521237	-4.185261922261539	-3.305608924598137	-5.504741418756641	-1.9861294281030344	2999	10
