sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.6968195859096618	-3.172137340952324	-2.153530503160422	-4.700047597640177	-0.6256202464725695	6009	1
bin1+	0.20\GCto 0.42	-2.7255083735717207	-3.148619057454024	-2.155943808277605	-4.637631931218652	-0.6669309345129768	870	2
bin2-	0.42\GCto 0.49	-2.4647970084257875	-3.0519876062943485	-1.7728712384727259	-4.970662158026783	0.14580331325970808	4816	3
bin2+	0.42\GCto 0.49	-2.5472995796836084	-3.1177183919348743	-1.9026036966769104	-4.94039043482182	-0.07993165378996459	1460	4
bin3-	0.49\GCto 0.55	-2.441356457604072	-3.0096748944687493	-1.7192868923131737	-4.945256897702112	0.21629511092018983	4608	5
bin3+	0.49\GCto 0.55	-2.5834416741362918	-3.1976791779497833	-1.9052327544468999	-5.136348813204108	0.03343688080742524	1939	6
bin4-	0.55\GCto 0.61	-2.4153092769178373	-3.0590135909654137	-1.6503173685807055	-5.172057924542476	0.4627269649963568	4209	7
bin4+	0.55\GCto 0.61	-2.5779250703967556	-3.179598884222505	-1.8263038551719637	-5.209541427798317	0.20363868840384836	2432	8
bin5-	0.61\GCto 0.84	-2.6125307527819768	-3.244519486626925	-1.8336339608721883	-5.36084777525903	0.28269432775991676	3932	9
bin5+	0.61\GCto 0.84	-2.669433368921273	-3.3085078383609643	-1.9071409107175794	-5.410558229826042	0.19490948074749803	3024	10
