sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-1.3379617192670306	-2.0014391828766924	-0.5730207203592661	-4.144066876652833	1.5696069734168736	3347	1
bin1+	0.16\GCto 0.29	-1.0361823151665255	-1.752282100812168	-0.25613795838548675	-3.99649831445219	1.988078255254535	184	2
bin2-	0.29\GCto 0.32	-1.5595394084191823	-2.210645225267212	-0.776735863583273	-4.361509267793121	1.3741281789426356	3488	3
bin2+	0.29\GCto 0.32	-1.4823614754458987	-2.1695746625464007	-0.5812977050072126	-4.098399718047124	1.8011177313015698	189	4
bin3-	0.32\GCto 0.35	-1.6832130204122286	-2.2745932477794732	-0.8818914353661768	-4.363645966399417	1.2071612832537677	3117	5
bin3+	0.32\GCto 0.35	-1.5286700690726698	-2.1589517804391156	-0.6005599124653819	-3.740326445592421	1.7370278894952182	131	6
bin4-	0.35\GCto 0.39	-1.788710585392381	-2.331695906561681	-0.9908731203897523	-4.3429300858195745	1.020361058868141	3035	7
bin4+	0.35\GCto 0.39	-1.4919005069242468	-2.1400064171902433	-0.6362681935089662	-4.395613752712158	1.6193391420129493	206	8
bin5-	0.39\GCto 0.60	-1.9975870759853196	-2.4043520527327384	-1.3630190801972801	-3.966351511535926	0.19898037860590745	2913	9
bin5+	0.39\GCto 0.60	-1.6550713024889534	-2.1409153161443886	-0.7955582624182022	-4.158950896733669	1.222477318171078	167	10
