sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-2.728786669394774	-3.338229907216463	-2.082399603727624	-5.221975362449721	-0.19865414849436558	3511	1
bin1+	0.16\GCto 0.29	-2.721623078977106	-3.4458608215392137	-2.158049421056001	-5.377577922264033	-0.22633232033118156	192	2
bin2-	0.29\GCto 0.32	-2.6438117846718576	-3.208834091984738	-2.0207632799647675	-4.990940310014694	-0.23865706193481162	3625	3
bin2+	0.29\GCto 0.32	-2.801562343839301	-3.3076373480524954	-2.185657533672134	-4.990607069623038	-0.5026878121015919	199	4
bin3-	0.32\GCto 0.35	-2.6637302500013256	-3.2056083780110654	-2.085148360612168	-4.886298404109412	-0.40445833451382174	3238	5
bin3+	0.32\GCto 0.35	-2.5834804687226263	-3.17140753852233	-2.18042949668588	-4.217366039922677	-0.6939624339312052	137	6
bin4-	0.35\GCto 0.39	-2.692164646271991	-3.229709573641644	-2.1244123180777987	-4.887655456987412	-0.46646643473203064	3130	7
bin4+	0.35\GCto 0.39	-2.480044705994115	-3.0228850549961317	-1.9855183986196177	-4.5789350395609025	-0.4294684140548466	203	8
bin5-	0.39\GCto 0.60	-2.7062376653252307	-3.2038967625171813	-2.192732958191777	-4.720642469005288	-0.6759872517036705	2981	9
bin5+	0.39\GCto 0.60	-2.7302472199404964	-3.21191487145488	-2.1565910487385214	-4.794900605529418	-0.5736053146639835	171	10
