sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.6162098950705346	-2.348255659052575	-0.7952227427917347	-4.6778050334438355	1.534326631599526	5096	1
bin1+	0.17\GCto 0.38	-1.3909946320253441	-2.210461675587918	-0.6308227934462907	-4.16869769805831	1.7386355297661504	202	2
bin2-	0.38\GCto 0.44	-1.8437655261200772	-2.567876292173135	-0.946188936395636	-5.000407325839383	1.4863420972706125	4975	3
bin2+	0.38\GCto 0.44	-1.454768364701222	-2.2762042281667636	-0.7809841910216173	-3.7062849234026043	1.4618458646961021	181	4
bin3-	0.44\GCto 0.50	-2.0288765627816208	-2.7183019838056603	-1.1366343237795355	-5.0538366476084455	1.2358671662596517	4850	5
bin3+	0.44\GCto 0.50	-1.8269782441759972	-2.589498942835398	-0.9727426516958642	-4.254536201476679	1.4523917850134365	170	6
bin4-	0.50\GCto 0.58	-2.4141606054040654	-3.0412698902791635	-1.5507882430767739	-5.226703301493876	0.6849342277268107	4942	7
bin4+	0.50\GCto 0.58	-2.264073929108049	-2.9969424189782474	-1.4222193377668773	-4.71301821428212	0.9398652840501778	185	8
bin5-	0.58\GCto 0.83	-3.1055722169824858	-3.5665472896479287	-2.4866287624381913	-5.186425080462534	-0.8667509716235853	5244	9
bin5+	0.58\GCto 0.83	-2.788739243890257	-3.4747692197439703	-2.1750399602934873	-5.424363108919695	-0.22544607111776283	187	10
