sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.665213201497314	-2.157368244247833	-1.1261561090104328	-3.7041864471039334	0.42066209384566755	5079	1
bin1+	0.17\GCto 0.38	-1.791639032834504	-2.3219994709605025	-1.107863174796031	-3.787198865570847	0.7133412694506762	204	2
bin2-	0.38\GCto 0.44	-1.5174862581027728	-2.0403002069422755	-0.8975990975111515	-3.7543518710889616	0.8164525666355343	4993	3
bin2+	0.38\GCto 0.44	-1.366942613750272	-1.9963244569653837	-0.71915532042426	-3.8500536541715693	1.1965983843874255	179	4
bin3-	0.44\GCto 0.50	-1.448185717294824	-1.9906821760111306	-0.7997368620739677	-3.777100146916875	0.986681108831777	4881	5
bin3+	0.44\GCto 0.50	-1.3135340010374696	-1.7657823669966732	-0.5640515719611887	-3.5683785595499	1.238544620592038	171	6
bin4-	0.50\GCto 0.58	-1.4636090645260402	-2.014139273937092	-0.8477721455477436	-3.763689966521114	0.9017785470362787	4936	7
bin4+	0.50\GCto 0.58	-1.2228882036361923	-1.7628731433439138	-0.5298995920540623	-3.5126499382292202	1.3195607348807148	187	8
bin5-	0.58\GCto 0.83	-1.5399028642357568	-2.091507621967357	-0.8577319987933052	-3.9421710567284354	0.9929314359677728	5348	9
bin5+	0.58\GCto 0.83	-1.1810120142937326	-1.757993226673476	-0.3612504218828622	-3.8531074338593965	1.7338637853030583	187	10
