sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.753065083510638	-3.4683644248015013	-1.8603359046258945	-5.880407205064912	0.5517068756375159	6777	1
bin1+	0.20\GCto 0.42	-2.5243105981499006	-3.22439934893478	-1.4715299195252514	-5.052486955683341	1.157774224589042	192	2
bin2-	0.42\GCto 0.49	-2.7602268815473554	-3.489913887061245	-1.822698409591034	-5.990737103266561	0.6781248066142824	6120	3
bin2+	0.42\GCto 0.49	-2.462596948618776	-3.3031223796563665	-1.4152217056784198	-4.477376547816462	1.4166293052885004	170	4
bin3-	0.49\GCto 0.55	-3.001011301371687	-3.6030516940755017	-2.134975412867642	-5.805166115887291	0.06713900894414726	6300	5
bin3+	0.49\GCto 0.55	-3.0272389091693137	-3.444556449921121	-2.3359964327678178	-5.05012791374425	-0.6731564070378626	261	6
bin4-	0.55\GCto 0.61	-3.347331097561829	-3.8328829637650648	-2.6509903308337233	-5.605721913162077	-0.878151381436711	6419	7
bin4+	0.55\GCto 0.61	-3.284029853134771	-3.799872068398762	-2.5918166766862765	-5.129654816205802	-0.7797335891175483	234	8
bin5-	0.61\GCto 0.84	-3.7905876158229717	-4.1768556751541395	-3.3573011490880167	-5.406187464253324	-2.1279693599888327	6706	9
bin5+	0.61\GCto 0.84	-3.753495011518067	-4.150527456468026	-3.223260934516415	-5.541427239395443	-1.8323611515889984	189	10
