sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.7033988225195023	-3.1692161040923033	-2.1588541252601763	-4.684759072340494	-0.6433111570119858	6685	1
bin1+	0.20\GCto 0.42	-2.5991516404762676	-3.057207964189224	-1.9681258802958432	-4.630682897048606	-0.33450275445577193	194	2
bin2-	0.42\GCto 0.49	-2.486018043544278	-3.0687082906899827	-1.8112814160243866	-4.954848602688377	0.07485889597400752	6110	3
bin2+	0.42\GCto 0.49	-2.3361391657692545	-2.862641192557343	-1.5944614167840787	-3.942798618941284	0.30780824687581765	166	4
bin3-	0.49\GCto 0.55	-2.485977231178906	-3.0733629806400247	-1.7831133725190953	-5.008737392821419	0.15226103966229876	6284	5
bin3+	0.49\GCto 0.55	-2.3993224538366755	-2.9224837141380506	-1.7793939457505923	-4.637118366719238	-0.06475929316940476	263	6
bin4-	0.55\GCto 0.61	-2.472380902362989	-3.1129053697245572	-1.716576016112547	-5.207399400142572	0.37791801430546834	6408	7
bin4+	0.55\GCto 0.61	-2.293715602924382	-2.80113927765847	-1.5603578855170206	-4.628853066704107	0.3008142026951537	233	8
bin5-	0.61\GCto 0.84	-2.655843185601201	-3.2844893157959696	-1.8734980293123806	-5.400976245521353	0.2429889004130028	6767	9
bin5+	0.61\GCto 0.84	-2.2220236639313846	-2.79417355835543	-1.5337738123078446	-4.343960616562802	0.3568258067635337	189	10
