sample	TCP	NAC	HSF	p.value	med	lq	uq	lw	uw	n	id
HSF+HSF+HSF	0	0	3	0.01953125	1.029066974263313	0.5171500502792169	1.322810750533242	-0.6913410001018209	2.3461411899864717	10	1
HSF+HSF+NAC	0	1	2	1.818989403545857e-10	1.536974537123279	0.9743415109087258	2.2965279573050443	-0.4686523356165586	4.279807626899522	38	2
HSF+HSF+TCP	1	0	2	5.932023131881504e-14	1.8281119966357262	1.3756419801708284	2.4972749150646436	-0.30680742216989443	4.179724317405366	77	3
HSF+NAC+NAC	0	2	1	9.094947017729299e-13	1.8980880460082379	1.4250310235195645	2.68720784410458	0.5527815154307527	4.372618614412778	41	4
HSF+NAC+TCP	1	1	1	2.4829232055333873e-28	2.74312102187842	2.18799882807535	3.3539124582123097	0.4391283828699104	5.102782903417749	162	5
HSF+TCP+TCP	2	0	1	3.692337870312259e-28	2.9113119692848985	2.251168499932596	3.718698122454092	0.04987406615035228	5.622781041904187	161	6
NAC+NAC+NAC	0	3	0	2.4414062500000016e-4	2.0149357156501413	1.8938031003897007	2.404320881594112	1.1280264285830834	2.9331002698519155	13	7
NAC+NAC+TCP	1	2	0	1.1900072239231864e-15	2.4643486062325035	1.9555017662970116	3.1122937281272964	0.48409619244175406	4.723785350414649	85	8
NAC+TCP+TCP	2	1	0	2.5697770594266177e-29	2.9729164493597757	2.4416100201519972	3.6370575017655264	0.9715254751677556	5.43022872418582	168	9
TCP+TCP+TCP	3	0	0	1.3302161186487572e-20	2.9511012249480397	2.434264110296008	3.5890500855909595	0.8099220688805564	5.321229048533387	115	10
