sample	TCP	NAC	HSF	p.value	med	lq	uq	lw	uw	n	id
HSF+HSF+HSF	0	0	3	4.882812500000003e-4	2.482546802921334	1.9760752430267332	3.136876052159401	1.1014910694852738	3.456117172471192	12	1
HSF+HSF+NAC	0	1	2	7.275957614183428e-12	2.5887950214104043	2.0673965241731915	2.995791021566351	1.2824676030994144	4.324478457088168	38	2
HSF+HSF+TCP	1	0	2	3.6786619522547456e-14	2.116407694803404	1.4354522546738528	2.45395159627368	0.3848295375825439	3.484259698977656	76	3
HSF+NAC+NAC	0	2	1	1.8189894035458565e-12	2.072035443826906	1.4802503271476861	2.4746340293721794	1.1002204102432476	3.1691677804096603	40	4
HSF+NAC+TCP	1	1	1	6.034449414248066e-28	1.6153223485759862	1.2235832894611685	2.1706306196803147	-0.19698770586755088	2.775865140996805	160	5
HSF+TCP+TCP	2	0	1	1.8487373709127548e-27	1.0976185610568445	0.7004764479541284	1.5665284724712631	-0.47114225107185614	2.562468712304319	158	6
NAC+NAC+NAC	0	3	0	2.4414062500000016e-4	1.466230645321322	0.7687359352367966	1.9676724495227242	0.08125526507498915	2.5373775597692756	13	7
NAC+NAC+TCP	1	2	0	8.951877662553747e-15	0.9835872400724471	0.517982046735993	1.475399631633831	-0.7228398117644961	2.6067276480932233	84	8
NAC+TCP+TCP	2	1	0	5.2112240807765305e-18	0.5499039996037576	0.16196893884324287	0.8769797832448325	-0.9105473277591416	1.9437626353707942	164	9
TCP+TCP+TCP	3	0	0	0.24695232303361814	-0.04079639499753118	-0.32375687053547875	0.2130945548432145	-1.1253740113161248	1.0183716929112543	111	10
