sample	p.value	med	lq	uq	lw	uw	n	id
10	0.10986328125000008	0.42911921334385816	0.025216760285488804	0.8416573557804902	-0.8132973336413112	0.8702932025444159	12	1
30	0.01708984375000001	0.35367074028008183	0.12988096721470632	0.6369896883598292	-0.6239705123809864	1.1687284675494314	13	2
35	7.324218750000004e-4	0.22751050066722134	0.043280590069061375	0.40218841862028665	-0.009459165444032358	0.9405501614471246	13	3
40	0.0012207031250000009	0.3707549088927997	0.18706377533269425	0.8515151065477715	-0.17570464186208135	1.344065425248751	13	4
50	0.5878906250000002	0.09560083053636381	-0.11637211254569357	0.17769910954151147	-0.5574789456765011	0.618805942672319	13	5
60	7.324218750000004e-4	0.3822322577127517	0.13042087677146963	0.5799415032304918	-0.0701088330861177	1.254222442919025	13	6
65	0.055358886718750014	0.21189646067010504	-0.1255320261134839	0.8526305010293531	-0.5292451446799824	1.2056745745351627	15	7
70	0.002319335937500001	0.3607469115704135	0.18751838790942404	0.5440633019040806	-0.30536477517678984	1.0788806728960654	14	8
80	0.016601562500000007	0.34158398492021524	0.17088482346407796	0.5770099392347267	-0.4383028501918951	1.1861976128906997	14	9
90	0.002319335937500001	0.6845567159804642	0.2298600871385842	1.0657756530230698	-0.3130967904085715	1.8538680528729925	14	10
95	0.0017089843750000013	0.4770645158825557	0.1530478274140472	0.8735089080671838	-0.09059896284350089	1.1878680421994743	13	11
100	8.544921875000003e-4	0.6391710853937336	0.1679513004250882	0.8751973656408092	-0.3237785942069291	1.0611562702303394	15	12
105	0.013671874999999998	0.4433292634620276	0.126972397806561	0.7600153646625027	-0.16755643648088192	1.0617926188844447	11	13
110	4.882812500000003e-4	0.6363920558562834	0.3716323325330304	0.820647435721895	0.23825256599811873	1.4941700905051918	12	14
115	0.09057617187500001	0.3710895772625462	-0.07695202610200103	0.6639523516953444	-0.8306948053551562	1.2124033242680168	14	15
120	1	0.11060711506958265	-0.2545364645620325	0.23000297458172114	-0.7469257546453496	0.3306154627680633	11	16
150	0.0029296874999999996	-0.5691652319427936	-1.2986196483128882	-0.2620349676854996	-1.9244443234955655	0.22180332573780692	11	17
155	0.0034179687500000026	-0.39230046032807353	-0.5595693599017693	-0.1335086142077691	-1.1986604784427695	0.19385844663966534	12	18
160	0.08300781249999999	-0.4584994496316126	-0.6263253321524547	-0.005668436140901401	-1.5133410213262528	0.7027545358669993	11	19
