sample	p.value	med	lq	uq	lw	uw	n	id
10	0.18547442555427548	0.044817010246828826	-0.09094856202632129	0.3586579779257313	-0.7653583719544002	1.0330677878538101	27	1
30	0.9578450322151183	0.09273299332074503	-0.2400185839994622	0.38556010758426673	-1.1783866213750556	0.9192351140083321	25	2
35	0.9910601079463957	-0.017449628281054674	-0.14453835209046195	0.21649534987840585	-0.6860889050437636	0.7580459028317075	28	3
40	0.6338268518447875	0.12190671200720438	-0.19244542166089462	0.2876789359348453	-0.9126319580545045	0.886677125411139	25	4
50	0.8416728973388674	-0.003700801617175231	-0.2207782267423402	0.2828757127282276	-0.6391272465920066	0.6091537225600989	26	5
60	0.4833515584468843	0.06376654660246572	-0.1428855744737334	0.26896749908058715	-0.7606651848052142	0.8867471094120679	26	6
65	0.0017047896981239345	0.16343229849182972	-0.0032905370187209515	0.31916132894954696	-0.4042113971147998	0.8028391279019489	28	7
70	0.5645889043807988	0.14615451479797148	-0.21247716401273742	0.2826765035681462	-0.935953971982022	0.627946168294887	24	8
80	0.34668456763029093	0.1308939461114047	-0.2237294884856107	0.37312170387710863	-0.6568183860138506	0.9321176891683525	29	9
90	0.1041739881038666	0.13922649401044562	-0.19831717116399433	0.34430433711207603	-0.8080159967235552	0.8600532733263242	28	10
95	0.8119303584098815	0.024140589309206817	-0.30586790179553947	0.2253206479637644	-0.6727621976271951	1.02210347260272	25	11
100	0.2578225731849672	0.1130848563477439	-0.13000199130611356	0.27894297020656644	-0.7434194335751335	0.8781498878276186	26	12
105	0.7265399694442751	-0.02065599435184895	-0.30808087497574443	0.2721120747491116	-1.1783702995630285	1.1424014993363958	26	13
110	0.3957113623619079	0.01641990997089504	-0.11346952872622573	0.28116917807291886	-0.7054275889249426	0.8731272382716357	25	14
115	0.8221841156482699	-0.00888284313744081	-0.3462171090415121	0.286732619359129	-0.748699734418159	0.5271184857825657	26	15
120	0.15690974146127704	0.1475653080331364	-0.1332466392757478	0.33108354310437327	-0.8297419128459294	0.9728816533571718	28	16
150	6.0319900512695394e-5	-1.1255757142380984	-1.5106765360150156	-0.2958012028114249	-2.806849101070818	0.8940320077260975	26	17
155	1.049041748046875e-4	-1.0894257068744841	-1.8475149167998144	-0.31000283054170086	-2.8284445609191735	1.143688183102878	20	18
160	5.245208740234373e-6	-0.8617537506243813	-1.3965337666216668	-0.316662761141278	-2.4545100261867026	0.6246275768870833	25	19
