sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-1.3706558787645915	-2.058387921203807	-0.6086684094937385	-4.23296718876891	1.5659108580713645	1652	1
bin1+	0.16\GCto 0.29	-1.2868811477881617	-1.9494656049049488	-0.46704671764875283	-4.173093935789243	1.7565816132355412	1879	2
bin2-	0.29\GCto 0.32	-1.6334070590500551	-2.2463081125855004	-0.821208217961021	-4.38395795452222	1.3164416239756982	1661	3
bin2+	0.29\GCto 0.32	-1.4818014146384824	-2.1771205856338947	-0.71723690253669	-4.366946110279701	1.4725886221091167	2016	4
bin3-	0.32\GCto 0.35	-1.750413083293508	-2.288731327234065	-0.9619978750712226	-4.278831505478329	1.0281023031730412	1454	5
bin3+	0.32\GCto 0.35	-1.6173122732817782	-2.230981292878549	-0.7950793212501548	-4.35727047567956	1.3587736361924363	1794	6
bin4-	0.35\GCto 0.39	-1.8293709888652305	-2.3419788142114237	-1.0819753984339924	-4.231983937877571	0.8080297252321547	1433	7
bin4+	0.35\GCto 0.39	-1.7217172214810454	-2.301518989800601	-0.8931693537789968	-4.414043443833008	1.2193551002534102	1808	8
bin5-	0.39\GCto 0.60	-1.985904328142507	-2.411841570305423	-1.3547963686487385	-3.9974093727904494	0.23077143383628784	1256	9
bin5+	0.39\GCto 0.60	-1.970601020308461	-2.379110262368779	-1.3204295970144087	-3.9671312604003344	0.26759140101714673	1824	10
