sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.16\GCto 0.29	-2.747903078143396	-3.3832214534831158	-2.0983020236252785	-5.310600598269872	-0.17092287883852264	1749	1
bin1+	0.16\GCto 0.29	-2.717835860788104	-3.3122161676096002	-2.080983991669668	-5.159064431519498	-0.23413572775976954	1954	2
bin2-	0.29\GCto 0.32	-2.716408322958225	-3.2605737301819913	-2.0769826631487662	-5.035960330731829	-0.3015960625989287	1724	3
bin2+	0.29\GCto 0.32	-2.6058527247875145	-3.1706931524367565	-1.9841630529943186	-4.950488301600414	-0.2043679038306616	2100	4
bin3-	0.32\GCto 0.35	-2.7103384673731648	-3.2339630271964777	-2.1732393980173232	-4.825048470965209	-0.5821539542485916	1507	5
bin3+	0.32\GCto 0.35	-2.6166819399352965	-3.1836487255356407	-2.027178436375641	-4.918354159275641	-0.2924730026356417	1868	6
bin4-	0.35\GCto 0.39	-2.7983743120859232	-3.3164602988121197	-2.247919804683637	-4.919271040004844	-0.6451090634909131	1486	7
bin4+	0.35\GCto 0.39	-2.594615927802306	-3.111688204644538	-2.0316120321581344	-4.7318024633741445	-0.41149777342852856	1847	8
bin5-	0.39\GCto 0.60	-2.770327772200603	-3.28377850076896	-2.272238627676807	-4.801088310407189	-0.754928818038578	1289	9
bin5+	0.39\GCto 0.60	-2.667702289520819	-3.151035798362038	-2.1298829697894104	-4.682765041220979	-0.5981537269304689	1863	10
