sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.6227284800638526	-2.3710846144948134	-0.7980212837976931	-4.730679610540493	1.561573712247987	2462	1
bin1+	0.17\GCto 0.38	-1.5917749855518932	-2.3170284907662833	-0.7812857699860005	-4.620642571936708	1.5223283111844237	2836	2
bin2-	0.38\GCto 0.44	-1.8948044406709168	-2.56476591004363	-1.0033484801361845	-4.576678575961912	1.3387776647249843	2153	3
bin2+	0.38\GCto 0.44	-1.7841973256013335	-2.5456544100886154	-0.9095640452190681	-4.999789957392936	1.5445715020852528	3003	4
bin3-	0.44\GCto 0.50	-2.0823960234930534	-2.7776968135019238	-1.1623458618104037	-5.0538366476084455	1.2606805657268767	1741	5
bin3+	0.44\GCto 0.50	-1.9967833957322292	-2.6944915192901986	-1.1070291395997947	-4.956932532977419	1.2741644299358112	3279	6
bin4-	0.50\GCto 0.58	-2.5345357599320533	-3.0980117735782104	-1.665837048866066	-4.801914683716124	0.48242503820215044	1523	7
bin4+	0.50\GCto 0.58	-2.355969422352024	-3.0110236283142293	-1.4878952155376806	-5.226703301493876	0.7967974036271426	3604	8
bin5-	0.58\GCto 0.83	-3.2221366696867397	-3.6830874598038505	-2.693449987816414	-5.167543667785005	-1.2089937798352597	1137	9
bin5+	0.58\GCto 0.83	-3.064591647389462	-3.528593643144693	-2.407672660414785	-5.209975117239555	-0.7262911863199228	4294	10
