sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.17\GCto 0.38	-1.7219940795252877	-2.2252219871525334	-1.1705936377592656	-3.8071645112424353	0.41134888633063604	2458	1
bin1+	0.17\GCto 0.38	-1.618998124313527	-2.115114855017867	-1.0892634172869042	-3.6538920116143108	0.44951373930953964	2825	2
bin2-	0.38\GCto 0.44	-1.579702920211721	-2.1037706420682465	-0.9591803928303	-3.820656015925166	0.7577049810266197	2164	3
bin2+	0.38\GCto 0.44	-1.4493095524277302	-1.9923488489111172	-0.8578327362340357	-3.6941230179267395	0.8439414327815866	3008	4
bin3-	0.44\GCto 0.50	-1.4982449913880358	-2.0323294350077648	-0.8461054527252084	-3.8116654084315993	0.9332305206986259	1759	5
bin3+	0.44\GCto 0.50	-1.4168828055531288	-1.9454609494875796	-0.7583483959191795	-3.7261297798401802	1.022320434433421	3293	6
bin4-	0.50\GCto 0.58	-1.5505420374067533	-2.1010814842660506	-0.9339851673579194	-3.851725959628247	0.8166593080042774	1526	7
bin4+	0.50\GCto 0.58	-1.403894894890447	-1.9775347659003466	-0.7951160175413818	-3.7511628884387935	0.9785121049970653	3597	8
bin5-	0.58\GCto 0.83	-1.686821088077581	-2.205115158322691	-1.126461200618312	-3.82309609487926	0.49151973593825704	1172	9
bin5+	0.58\GCto 0.83	-1.4630283902652779	-2.054803502460706	-0.7790275112725937	-3.9684674892428746	1.1346364755095748	4363	10
