sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.8381633427649877	-3.5307945501505147	-1.9810555401181995	-5.8554030651989875	0.34355297493027326	2965	1
bin1+	0.20\GCto 0.42	-2.662615050057455	-3.398338241051113	-1.7659546794833145	-5.846913583402811	0.6826206628683835	4004	2
bin2-	0.42\GCto 0.49	-2.8886552501457574	-3.577920550954712	-2.014757988811247	-5.922664394169909	0.32998585440395045	2188	3
bin2+	0.42\GCto 0.49	-2.6729344267494115	-3.425191796061672	-1.722606870508547	-5.97906918439136	0.8312705178211404	4102	4
bin3-	0.49\GCto 0.55	-3.129708275148256	-3.7534950115180674	-2.2904490093520433	-5.948064014767104	-0.09588000610300718	1673	5
bin3+	0.49\GCto 0.55	-2.9591724879499726	-3.549833794238727	-2.098403856820444	-5.726978700366151	0.07874104930697978	4888	6
bin4-	0.55\GCto 0.61	-3.4799386172630884	-3.958443590566274	-2.8422761402379813	-5.632694766058713	-1.168024964745542	1246	7
bin4+	0.55\GCto 0.61	-3.3076343447480663	-3.7950169099590587	-2.6114756857890145	-5.570328746214125	-0.8361638495339481	5407	8
bin5-	0.61\GCto 0.84	-3.985017784051572	-4.377496517278262	-3.5400805063553027	-5.6336205336627	-2.2839564899708638	991	9
bin5+	0.61\GCto 0.84	-3.7615188615995385	-4.140030738661298	-3.3272600222644497	-5.35918681325657	-2.1081039476691776	5904	10
