sample	LaTeX.label	med	lq	uq	lw	uw	n	id
bin1-	0.20\GCto 0.42	-2.7583429408018616	-3.225559487643635	-2.245731251691327	-4.695301841572096	-0.7759888977628653	2921	1
bin1+	0.20\GCto 0.42	-2.6496464218615703	-3.1228098871720116	-2.099946141573568	-4.657105505569676	-0.5656505231759028	3958	2
bin2-	0.42\GCto 0.49	-2.649420249757938	-3.208948888868318	-1.956135525786892	-5.088168933490457	-0.076915481164753	2179	3
bin2+	0.42\GCto 0.49	-2.395891524181875	-2.976193481983294	-1.7268284191611323	-4.850241076216537	0.14721917507211035	4097	4
bin3-	0.49\GCto 0.55	-2.6620740614510123	-3.262069244685275	-1.9717518460891672	-5.197545342579437	-0.036275748195005564	1671	5
bin3+	0.49\GCto 0.55	-2.4221875748579955	-2.9949062664957555	-1.7319518049106852	-4.8893379588733605	0.16247988746692021	4876	6
bin4-	0.55\GCto 0.61	-2.7816165464606675	-3.379087480214607	-2.0434188470505026	-5.382590429960763	-0.03991589730434608	1237	7
bin4+	0.55\GCto 0.61	-2.407559922061631	-3.0296661164047958	-1.6547400090298896	-5.092055277467155	0.4076491520324699	5404	8
bin5-	0.61\GCto 0.84	-3.08573621626486	-3.6705785522657517	-2.3810840416703085	-5.604820318158916	-0.44684227577714375	993	9
bin5+	0.61\GCto 0.84	-2.5577084643619044	-3.188454187520782	-1.8035762024849018	-5.265771165074603	0.2737407750689189	5963	10
